CookerStat, GenerateAssetRegistry=76.900063, Initialize=170.307785, RunGuid=RunID5254271D4661321B4C5DEC9BF624C714
SavePackageTransactionIdC767F02C46198799C056A696E429B2DA_11, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/OrbPattern_BP.uasset, AutoPackageBackupDelegate=11.471827, FlushAsyncLoading=0.005599, FlushStreamingFunc=0.109784, BlockTillAllRequestsFinished=0.005290, ResetLoadersForSaveUnMarkAllObjects=0.108227, TagPackageExports=14.654990, BeginCacheForCookedPlatformData=0.006221, SerializeImports=16.415916, GatherLocalizableTextData=11.709436, MarkNames=0.101388, SerializeSummary=0.016175, SerializeNames=0.355478, SerializeGatherableTextData=0.130001, BuildExportMap=0.310697, SortExportsNonSeekfree=2.658494, SortExportsSeekfreeConstructor=0.070289, SortExportsSeekfreeInner=18.390503, SortExportsSeekfree=0.008397, BuildDependencyMap=0.143997, SerializeImportMap=0.026748, SerializeExportMap=0.120983, SerializeDependencyMap=0.018351, SerializeStringAssetReferenceMap=0.002176, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.757506, SerializeExports=21.088495, SerializeBulkData=0.014927, MoveFile=2.974786, UnaccountedTime=1.443386, RunGuid=RunID5254271D4661321B4C5DEC9BF624C714
SavePackageTransactionIdC767F02C46198799C056A696E429B2DA_12, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/OrbPattern_BP.uasset, AutoPackageBackupDelegate=19.009411, FlushAsyncLoading=0.005286, FlushStreamingFunc=0.085838, BlockTillAllRequestsFinished=0.005908, ResetLoadersForSaveUnMarkAllObjects=0.160169, TagPackageExports=12.971819, BeginCacheForCookedPlatformData=0.004973, SerializeImports=14.779083, GatherLocalizableTextData=11.646617, MarkNames=0.064999, SerializeSummary=0.015862, SerializeNames=0.291102, SerializeGatherableTextData=0.123162, BuildExportMap=0.191268, SortExportsNonSeekfree=2.151862, SortExportsSeekfreeConstructor=0.059713, SortExportsSeekfreeInner=15.616939, SortExportsSeekfree=0.007153, BuildDependencyMap=0.118807, SerializeImportMap=0.019286, SerializeExportMap=0.066865, SerializeDependencyMap=0.012126, SerializeStringAssetReferenceMap=0.001866, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.460806, SerializeExports=20.011786, SerializeBulkData=0.009950, MoveFile=3.416106, UnaccountedTime=1.559705, RunGuid=RunID5254271D4661321B4C5DEC9BF624C714
SavePackageTransactionIdC767F02C46198799C056A696E429B2DA_13, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/OrbPattern_BP.uasset, AutoPackageBackupDelegate=19.938078, FlushAsyncLoading=0.009328, FlushStreamingFunc=0.046343, BlockTillAllRequestsFinished=0.004977, ResetLoadersForSaveUnMarkAllObjects=0.117250, TagPackageExports=17.516886, BeginCacheForCookedPlatformData=0.006530, SerializeImports=19.131947, GatherLocalizableTextData=14.585946, MarkNames=0.097968, SerializeSummary=0.015240, SerializeNames=0.417061, SerializeGatherableTextData=0.146486, BuildExportMap=0.320647, SortExportsNonSeekfree=3.170103, SortExportsSeekfreeConstructor=0.060957, SortExportsSeekfreeInner=19.778530, SortExportsSeekfree=0.008397, BuildDependencyMap=0.151463, SerializeImportMap=0.025813, SerializeExportMap=0.097346, SerializeDependencyMap=0.019904, SerializeStringAssetReferenceMap=0.002176, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.104279, SerializeExports=24.494030, SerializeBulkData=0.010885, MoveFile=3.520295, UnaccountedTime=1.519274, RunGuid=RunID5254271D4661321B4C5DEC9BF624C714
SavePackageTransactionIdC767F02C46198799C056A696E429B2DA_14, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/OrbPattern_BP.uasset, AutoPackageBackupDelegate=18.343229, FlushAsyncLoading=0.004977, FlushStreamingFunc=0.129379, BlockTillAllRequestsFinished=0.005286, ResetLoadersForSaveUnMarkAllObjects=0.105120, TagPackageExports=17.246618, BeginCacheForCookedPlatformData=0.005908, SerializeImports=18.341988, GatherLocalizableTextData=14.422979, MarkNames=0.111651, SerializeSummary=0.015862, SerializeNames=0.375696, SerializeGatherableTextData=0.150841, BuildExportMap=0.320647, SortExportsNonSeekfree=2.737179, SortExportsSeekfreeConstructor=0.060957, SortExportsSeekfreeInner=19.991573, SortExportsSeekfree=0.008397, BuildDependencyMap=0.153016, SerializeImportMap=0.025816, SerializeExportMap=0.094857, SerializeDependencyMap=0.019904, SerializeStringAssetReferenceMap=0.002176, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.148442, SerializeExports=25.148079, SerializeBulkData=0.010572, MoveFile=3.459647, UnaccountedTime=1.611333, RunGuid=RunID5254271D4661321B4C5DEC9BF624C714
SavePackageTransactionIdC767F02C46198799C056A696E429B2DA_15, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/OrbPattern_BP.uasset, AutoPackageBackupDelegate=11.260654, FlushAsyncLoading=0.004664, FlushStreamingFunc=0.108544, BlockTillAllRequestsFinished=0.005286, ResetLoadersForSaveUnMarkAllObjects=0.108231, TagPackageExports=16.882431, BeginCacheForCookedPlatformData=0.006218, SerializeImports=18.991060, GatherLocalizableTextData=14.706619, MarkNames=0.098590, SerializeSummary=0.015862, SerializeNames=0.368856, SerializeGatherableTextData=0.144307, BuildExportMap=0.316918, SortExportsNonSeekfree=2.736244, SortExportsSeekfreeConstructor=0.010263, SortExportsSeekfreeInner=19.076277, SortExportsSeekfree=0.008084, BuildDependencyMap=0.146486, SerializeImportMap=0.025190, SerializeExportMap=0.115074, SerializeDependencyMap=0.019908, SerializeStringAssetReferenceMap=0.002485, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.006624, SerializeExports=25.107649, SerializeBulkData=0.010572, MoveFile=3.350485, UnaccountedTime=1.522694, RunGuid=RunID5254271D4661321B4C5DEC9BF624C714
SavePackageTransactionIdC767F02C46198799C056A696E429B2DA_16, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/OrbPattern_BP.uasset, AutoPackageBackupDelegate=11.300154, FlushAsyncLoading=0.004664, FlushStreamingFunc=0.139952, BlockTillAllRequestsFinished=0.005599, ResetLoadersForSaveUnMarkAllObjects=0.123158, TagPackageExports=16.662546, BeginCacheForCookedPlatformData=0.005908, SerializeImports=18.230337, GatherLocalizableTextData=14.757622, MarkNames=0.098281, SerializeSummary=0.015549, SerializeNames=0.368234, SerializeGatherableTextData=0.142440, BuildExportMap=0.401199, SortExportsNonSeekfree=2.809957, SortExportsSeekfreeConstructor=0.013370, SortExportsSeekfreeInner=19.211254, SortExportsSeekfree=0.007153, BuildDependencyMap=0.166699, SerializeImportMap=0.024881, SerializeExportMap=0.095166, SerializeDependencyMap=0.020526, SerializeStringAssetReferenceMap=0.002801, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.134133, SerializeExports=24.229050, SerializeBulkData=0.011198, MoveFile=4.927918, UnaccountedTime=1.478840, RunGuid=RunID5254271D4661321B4C5DEC9BF624C714
SavePackageTransactionIdC767F02C46198799C056A696E429B2DA_17, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/OrbPattern_BP.uasset, AutoPackageBackupDelegate=18.281651, FlushAsyncLoading=0.004977, FlushStreamingFunc=0.066243, BlockTillAllRequestsFinished=0.004977, ResetLoadersForSaveUnMarkAllObjects=0.108853, TagPackageExports=16.594746, BeginCacheForCookedPlatformData=0.005290, SerializeImports=18.108419, GatherLocalizableTextData=14.348958, MarkNames=0.097968, SerializeSummary=0.015240, SerializeNames=0.364501, SerializeGatherableTextData=0.174165, BuildExportMap=0.346150, SortExportsNonSeekfree=2.761438, SortExportsSeekfreeConstructor=0.011194, SortExportsSeekfreeInner=18.851730, SortExportsSeekfree=0.007775, BuildDependencyMap=0.151459, SerializeImportMap=0.025194, SerializeExportMap=0.095788, SerializeDependencyMap=0.023015, SerializeStringAssetReferenceMap=0.003424, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.007242, SerializeExports=24.973600, SerializeBulkData=0.010885, MoveFile=3.540512, UnaccountedTime=1.534823, RunGuid=RunID5254271D4661321B4C5DEC9BF624C714
SavePackageTransactionIdC767F02C46198799C056A696E429B2DA_18, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Levels/OverworldLevel.umap, AutoPackageBackupDelegate=20.185642, FlushAsyncLoading=0.009332, FlushStreamingFunc=0.057224, BlockTillAllRequestsFinished=0.005908, ResetLoadersForSaveUnMarkAllObjects=73.852188, TagPackageExports=8.308567, BeginCacheForCookedPlatformData=0.004977, SerializeImports=10.237440, GatherLocalizableTextData=12.101617, MarkNames=0.083663, SerializeSummary=0.017416, SerializeNames=0.487972, SerializeGatherableTextData=0.053491, BuildExportMap=0.336822, SortExportsNonSeekfree=1.414772, SortExportsSeekfreeConstructor=0.059716, SortExportsSeekfreeInner=22.156805, SortExportsSeekfree=0.005599, BuildDependencyMap=0.159856, SerializeImportMap=0.041675, SerializeExportMap=0.082418, SerializeDependencyMap=0.011198, SerializeStringAssetReferenceMap=0.001866, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.777407, SerializeExports=12.691602, SerializeBulkData=2.612151, MoveFile=47.349052, UnaccountedTime=2.273776, RunGuid=RunID5254271D4661321B4C5DEC9BF624C714
SavePackageTransactionIdC767F02C46198799C056A696E429B2DA_19, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/OrbPattern_BP.uasset, AutoPackageBackupDelegate=11.166420, FlushAsyncLoading=0.004977, FlushStreamingFunc=0.113517, BlockTillAllRequestsFinished=0.005599, ResetLoadersForSaveUnMarkAllObjects=0.134353, TagPackageExports=15.589573, BeginCacheForCookedPlatformData=0.004664, SerializeImports=16.913530, GatherLocalizableTextData=15.539185, MarkNames=0.094235, SerializeSummary=0.015240, SerializeNames=0.389382, SerializeGatherableTextData=0.149906, BuildExportMap=0.299189, SortExportsNonSeekfree=2.256360, SortExportsSeekfreeConstructor=0.013374, SortExportsSeekfreeInner=17.517817, SortExportsSeekfree=0.008088, BuildDependencyMap=0.148661, SerializeImportMap=0.024259, SerializeExportMap=0.086769, SerializeDependencyMap=0.018660, SerializeStringAssetReferenceMap=0.002176, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.881287, SerializeExports=21.941587, SerializeBulkData=0.009954, MoveFile=3.328092, UnaccountedTime=1.462359, RunGuid=RunID5254271D4661321B4C5DEC9BF624C714
SavePackageTransactionIdC767F02C46198799C056A696E429B2DA_20, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/OrbPattern_BP.uasset, AutoPackageBackupDelegate=19.741211, FlushAsyncLoading=0.010263, FlushStreamingFunc=0.100765, BlockTillAllRequestsFinished=0.006530, ResetLoadersForSaveUnMarkAllObjects=0.145242, TagPackageExports=14.853415, BeginCacheForCookedPlatformData=0.005908, SerializeImports=17.230448, GatherLocalizableTextData=11.114169, MarkNames=0.089258, SerializeSummary=0.044476, SerializeNames=0.378806, SerializeGatherableTextData=0.117872, BuildExportMap=0.300743, SortExportsNonSeekfree=2.217174, SortExportsSeekfreeConstructor=0.063758, SortExportsSeekfreeInner=17.739256, SortExportsSeekfree=0.007153, BuildDependencyMap=0.163902, SerializeImportMap=0.026435, SerializeExportMap=0.087395, SerializeDependencyMap=0.018973, SerializeStringAssetReferenceMap=0.002176, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.935091, SerializeExports=22.121660, SerializeBulkData=0.011198, MoveFile=3.144596, UnaccountedTime=1.438100, RunGuid=RunID5254271D4661321B4C5DEC9BF624C714
