CookerStat, GenerateAssetRegistry=0.024568, Initialize=0.135601, RunGuid=RunIDFDC9708F45967D520F9890A10A84043C
SavePackageTransactionId44B9D2184A21CC7B316931A8E60D1714_11, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Saved/Autosaves/Game/Levels/UEDPCOverworldLevel.umap, AutoPackageBackupDelegate=49.360008, FlushAsyncLoading=0.005599, FlushStreamingFunc=0.096723, BlockTillAllRequestsFinished=0.005286, ResetLoadersForSaveUnMarkAllObjects=153.782349, TagPackageExports=67.910049, BeginCacheForCookedPlatformData=0.006530, SerializeImports=72.011002, GatherLocalizableTextData=46.088520, MarkNames=0.252537, SerializeSummary=0.020839, SerializeNames=0.622015, SerializeGatherableTextData=0.305407, BuildExportMap=0.648763, SortExportsNonSeekfree=12.640279, SortExportsSeekfreeConstructor=0.083663, SortExportsSeekfreeInner=90.961929, SortExportsSeekfree=0.012130, BuildDependencyMap=0.776585, SerializeImportMap=0.072777, SerializeExportMap=0.269018, SerializeDependencyMap=0.055358, SerializeStringAssetReferenceMap=0.002488, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.515807, SerializeExports=90.128433, SerializeBulkData=2.535954, MoveFile=4.033771, UnaccountedTime=0.339620, RunGuid=RunIDFDC9708F45967D520F9890A10A84043C
SavePackageTransactionId44B9D2184A21CC7B316931A8E60D1714_12, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Saved/Autosaves/Game/Levels/UEDPCOverworldLevel.umap, AutoPackageBackupDelegate=53.084637, FlushAsyncLoading=0.013061, FlushStreamingFunc=0.069667, BlockTillAllRequestsFinished=0.006530, ResetLoadersForSaveUnMarkAllObjects=172.543884, TagPackageExports=74.754395, BeginCacheForCookedPlatformData=0.006530, SerializeImports=78.061340, GatherLocalizableTextData=48.905315, MarkNames=0.287060, SerializeSummary=0.025194, SerializeNames=0.725269, SerializeGatherableTextData=0.342108, BuildExportMap=0.777207, SortExportsNonSeekfree=13.229329, SortExportsSeekfreeConstructor=0.099830, SortExportsSeekfreeInner=104.798973, SortExportsSeekfree=0.009328, BuildDependencyMap=0.846874, SerializeImportMap=0.083972, SerializeExportMap=0.280220, SerializeDependencyMap=0.067491, SerializeStringAssetReferenceMap=0.004042, SaveThumbNailsAssetRegistryDataWorldLevelInfo=8.583806, SerializeExports=100.484367, SerializeBulkData=3.080841, MoveFile=4.792623, UnaccountedTime=0.455007, RunGuid=RunIDFDC9708F45967D520F9890A10A84043C
SavePackageTransactionId44B9D2184A21CC7B316931A8E60D1714_13, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Saved/Autosaves/Game/Levels/UEDPCOverworldLevel.umap, AutoPackageBackupDelegate=53.303898, FlushAsyncLoading=0.012752, FlushStreamingFunc=0.061579, BlockTillAllRequestsFinished=0.005908, ResetLoadersForSaveUnMarkAllObjects=153.414734, TagPackageExports=66.627457, BeginCacheForCookedPlatformData=0.006530, SerializeImports=74.356308, GatherLocalizableTextData=46.222878, MarkNames=0.249427, SerializeSummary=0.021148, SerializeNames=0.626992, SerializeGatherableTextData=0.306655, BuildExportMap=0.639740, SortExportsNonSeekfree=12.505304, SortExportsSeekfreeConstructor=0.073709, SortExportsSeekfreeInner=98.356140, SortExportsSeekfree=0.008710, BuildDependencyMap=0.780627, SerializeImportMap=0.074018, SerializeExportMap=0.268091, SerializeDependencyMap=0.057846, SerializeStringAssetReferenceMap=0.003420, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.846721, SerializeExports=90.822914, SerializeBulkData=2.493657, MoveFile=4.432790, UnaccountedTime=0.348952, RunGuid=RunIDFDC9708F45967D520F9890A10A84043C
SavePackageTransactionId44B9D2184A21CC7B316931A8E60D1714_14, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Levels/OverworldLevel.umap, AutoPackageBackupDelegate=50.278725, FlushAsyncLoading=0.005599, FlushStreamingFunc=0.036389, BlockTillAllRequestsFinished=0.004042, ResetLoadersForSaveUnMarkAllObjects=162.337540, TagPackageExports=70.810822, BeginCacheForCookedPlatformData=0.006534, SerializeImports=76.433838, GatherLocalizableTextData=48.533039, MarkNames=0.376631, SerializeSummary=0.023950, SerializeNames=0.667419, SerializeGatherableTextData=0.336513, BuildExportMap=0.697590, SortExportsNonSeekfree=12.965902, SortExportsSeekfreeConstructor=0.100143, SortExportsSeekfreeInner=92.296471, SortExportsSeekfree=0.009019, BuildDependencyMap=0.780005, SerializeImportMap=0.064068, SerializeExportMap=0.269022, SerializeDependencyMap=0.054739, SerializeStringAssetReferenceMap=0.002488, SaveThumbNailsAssetRegistryDataWorldLevelInfo=23.844950, SerializeExports=89.289337, SerializeBulkData=2.667513, MoveFile=4.156925, UnaccountedTime=0.342730, RunGuid=RunIDFDC9708F45967D520F9890A10A84043C
SavePackageTransactionId44B9D2184A21CC7B316931A8E60D1714_15, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Saved/Autosaves/Game/Levels/UEDPCOverworldLevel.umap, AutoPackageBackupDelegate=49.578335, FlushAsyncLoading=0.005286, FlushStreamingFunc=0.127826, BlockTillAllRequestsFinished=0.005595, ResetLoadersForSaveUnMarkAllObjects=152.974976, TagPackageExports=68.244698, BeginCacheForCookedPlatformData=0.006534, SerializeImports=74.253677, GatherLocalizableTextData=46.244335, MarkNames=0.242274, SerializeSummary=0.019282, SerializeNames=0.630103, SerializeGatherableTextData=0.313494, BuildExportMap=0.636011, SortExportsNonSeekfree=12.600471, SortExportsSeekfreeConstructor=0.072777, SortExportsSeekfreeInner=91.386147, SortExportsSeekfree=0.008706, BuildDependencyMap=0.772234, SerializeImportMap=0.070598, SerializeExportMap=0.271510, SerializeDependencyMap=0.096723, SerializeStringAssetReferenceMap=0.003107, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.894307, SerializeExports=88.911774, SerializeBulkData=2.572656, MoveFile=4.113384, UnaccountedTime=0.347085, RunGuid=RunIDFDC9708F45967D520F9890A10A84043C
SavePackageTransactionId44B9D2184A21CC7B316931A8E60D1714_16, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Levels/OverworldLevel.umap, AutoPackageBackupDelegate=60.042805, FlushAsyncLoading=0.019904, FlushStreamingFunc=0.086769, BlockTillAllRequestsFinished=0.007156, ResetLoadersForSaveUnMarkAllObjects=182.641357, TagPackageExports=71.507477, BeginCacheForCookedPlatformData=0.006843, SerializeImports=76.258430, GatherLocalizableTextData=47.173004, MarkNames=0.260003, SerializeSummary=0.020526, SerializeNames=0.665244, SerializeGatherableTextData=0.300433, BuildExportMap=0.660580, SortExportsNonSeekfree=12.773082, SortExportsSeekfreeConstructor=0.090815, SortExportsSeekfreeInner=96.074272, SortExportsSeekfree=0.009019, BuildDependencyMap=0.790272, SerializeImportMap=0.096723, SerializeExportMap=0.282396, SerializeDependencyMap=0.055671, SerializeStringAssetReferenceMap=0.002798, SaveThumbNailsAssetRegistryDataWorldLevelInfo=8.682709, SerializeExports=95.080917, SerializeBulkData=3.257181, MoveFile=4.392046, UnaccountedTime=0.391249, RunGuid=RunIDFDC9708F45967D520F9890A10A84043C
SavePackageTransactionId44B9D2184A21CC7B316931A8E60D1714_17, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Saved/Autosaves/Game/Levels/UEDPCOverworldLevel.umap, AutoPackageBackupDelegate=50.600616, FlushAsyncLoading=0.005908, FlushStreamingFunc=0.102632, BlockTillAllRequestsFinished=0.004664, ResetLoadersForSaveUnMarkAllObjects=151.040512, TagPackageExports=64.254471, BeginCacheForCookedPlatformData=0.006530, SerializeImports=71.552887, GatherLocalizableTextData=45.732418, MarkNames=0.246316, SerializeSummary=0.020526, SerializeNames=0.654671, SerializeGatherableTextData=0.282396, BuildExportMap=0.640053, SortExportsNonSeekfree=12.842122, SortExportsSeekfreeConstructor=0.073709, SortExportsSeekfreeInner=93.919930, SortExportsSeekfree=0.008397, BuildDependencyMap=0.777829, SerializeImportMap=0.075575, SerializeExportMap=0.268709, SerializeDependencyMap=0.055671, SerializeStringAssetReferenceMap=0.003111, SaveThumbNailsAssetRegistryDataWorldLevelInfo=8.296750, SerializeExports=90.436325, SerializeBulkData=3.879201, MoveFile=4.269510, UnaccountedTime=0.350505, RunGuid=RunIDFDC9708F45967D520F9890A10A84043C
SavePackageTransactionId44B9D2184A21CC7B316931A8E60D1714_18, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Saved/Autosaves/Game/Levels/UEDPCOverworldLevel.umap, AutoPackageBackupDelegate=49.382401, FlushAsyncLoading=0.005599, FlushStreamingFunc=0.093304, BlockTillAllRequestsFinished=0.004351, ResetLoadersForSaveUnMarkAllObjects=152.008362, TagPackageExports=67.757973, BeginCacheForCookedPlatformData=0.006843, SerializeImports=74.927940, GatherLocalizableTextData=46.269524, MarkNames=0.248808, SerializeSummary=0.018969, SerializeNames=0.651252, SerializeGatherableTextData=0.300743, BuildExportMap=0.642233, SortExportsNonSeekfree=12.941335, SortExportsSeekfreeConstructor=0.088636, SortExportsSeekfreeInner=92.832954, SortExportsSeekfree=0.008706, BuildDependencyMap=0.799604, SerializeImportMap=0.063755, SerializeExportMap=0.321582, SerializeDependencyMap=0.073709, SerializeStringAssetReferenceMap=0.003111, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.805355, SerializeExports=91.630600, SerializeBulkData=2.545286, MoveFile=4.273865, UnaccountedTime=0.376943, RunGuid=RunIDFDC9708F45967D520F9890A10A84043C
SavePackageTransactionId44B9D2184A21CC7B316931A8E60D1714_19, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Levels/OverworldLevel.umap, AutoPackageBackupDelegate=52.477859, FlushAsyncLoading=0.012130, FlushStreamingFunc=0.090189, BlockTillAllRequestsFinished=0.006843, ResetLoadersForSaveUnMarkAllObjects=152.727722, TagPackageExports=70.210884, BeginCacheForCookedPlatformData=0.006534, SerializeImports=73.813599, GatherLocalizableTextData=47.150612, MarkNames=0.240408, SerializeSummary=0.020836, SerializeNames=0.626061, SerializeGatherableTextData=0.341173, BuildExportMap=0.650629, SortExportsNonSeekfree=12.577765, SortExportsSeekfreeConstructor=0.068735, SortExportsSeekfreeInner=92.653816, SortExportsSeekfree=0.008706, BuildDependencyMap=0.785608, SerializeImportMap=0.064377, SerializeExportMap=0.272132, SerializeDependencyMap=0.092991, SerializeStringAssetReferenceMap=0.004046, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.870358, SerializeExports=92.517906, SerializeBulkData=2.595980, MoveFile=4.392982, UnaccountedTime=0.366367, RunGuid=RunIDFDC9708F45967D520F9890A10A84043C
SavePackageTransactionId44B9D2184A21CC7B316931A8E60D1714_20, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Levels/OverworldLevel.umap, AutoPackageBackupDelegate=54.085457, FlushAsyncLoading=0.006843, FlushStreamingFunc=0.066556, BlockTillAllRequestsFinished=0.009019, ResetLoadersForSaveUnMarkAllObjects=175.586151, TagPackageExports=77.299683, BeginCacheForCookedPlatformData=0.006530, SerializeImports=85.387749, GatherLocalizableTextData=50.826099, MarkNames=0.330601, SerializeSummary=0.029232, SerializeNames=0.687949, SerializeGatherableTextData=0.336509, BuildExportMap=0.733357, SortExportsNonSeekfree=13.333518, SortExportsSeekfreeConstructor=0.101697, SortExportsSeekfreeInner=100.977623, SortExportsSeekfree=0.009019, BuildDependencyMap=0.781562, SerializeImportMap=0.086460, SerializeExportMap=0.272132, SerializeDependencyMap=0.055980, SerializeStringAssetReferenceMap=0.002798, SaveThumbNailsAssetRegistryDataWorldLevelInfo=9.387452, SerializeExports=99.362869, SerializeBulkData=3.110696, MoveFile=8.104544, UnaccountedTime=0.477400, RunGuid=RunIDFDC9708F45967D520F9890A10A84043C
