CookerStat, GenerateAssetRegistry=0.031725, Initialize=0.143372, RunGuid=RunID2743EF4944F2C98B8C991B860CECE6D1
SavePackageTransactionId78FAE1E94A079EFE261DAFA77C4A9D21_9, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/Widgets/CursorWidget_BP.uasset, AutoPackageBackupDelegate=47.670380, FlushAsyncLoading=0.005599, FlushStreamingFunc=0.103876, BlockTillAllRequestsFinished=0.004668, ResetLoadersForSaveUnMarkAllObjects=0.103563, TagPackageExports=10.713916, BeginCacheForCookedPlatformData=0.006221, SerializeImports=12.661446, GatherLocalizableTextData=8.191019, MarkNames=0.068732, SerializeSummary=0.014309, SerializeNames=0.351440, SerializeGatherableTextData=0.094544, BuildExportMap=0.224549, SortExportsNonSeekfree=1.524251, SortExportsSeekfreeConstructor=0.063445, SortExportsSeekfreeInner=13.091572, SortExportsSeekfree=0.005908, BuildDependencyMap=0.101388, SerializeImportMap=0.023637, SerializeExportMap=0.062823, SerializeDependencyMap=0.010885, SerializeStringAssetReferenceMap=0.001866, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.307480, SerializeExports=15.160088, SerializeBulkData=0.006840, MoveFile=3.277402, UnaccountedTime=1.555353, RunGuid=RunID2743EF4944F2C98B8C991B860CECE6D1
SavePackageTransactionId78FAE1E94A079EFE261DAFA77C4A9D21_10, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/MeleeDrawer.uasset, AutoPackageBackupDelegate=51.719391, FlushAsyncLoading=0.011198, FlushStreamingFunc=0.113208, BlockTillAllRequestsFinished=0.007153, ResetLoadersForSaveUnMarkAllObjects=0.143997, TagPackageExports=43.129974, BeginCacheForCookedPlatformData=0.007462, SerializeImports=48.928406, GatherLocalizableTextData=28.400942, MarkNames=0.917163, SerializeSummary=0.020526, SerializeNames=0.455007, SerializeGatherableTextData=0.229523, BuildExportMap=0.369169, SortExportsNonSeekfree=6.336164, SortExportsSeekfreeConstructor=0.068735, SortExportsSeekfreeInner=50.816845, SortExportsSeekfree=0.021771, BuildDependencyMap=0.287060, SerializeImportMap=0.024259, SerializeExportMap=0.269331, SerializeDependencyMap=0.039808, SerializeStringAssetReferenceMap=0.002488, SaveThumbNailsAssetRegistryDataWorldLevelInfo=4.492823, SerializeExports=62.500793, SerializeBulkData=0.010576, MoveFile=3.835663, UnaccountedTime=1.908969, RunGuid=RunID2743EF4944F2C98B8C991B860CECE6D1
SavePackageTransactionId78FAE1E94A079EFE261DAFA77C4A9D21_11, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/MeleeDrawer.uasset, AutoPackageBackupDelegate=48.544315, FlushAsyncLoading=0.005599, FlushStreamingFunc=0.102010, BlockTillAllRequestsFinished=0.004664, ResetLoadersForSaveUnMarkAllObjects=0.106364, TagPackageExports=46.361656, BeginCacheForCookedPlatformData=0.007156, SerializeImports=50.810623, GatherLocalizableTextData=27.922302, MarkNames=1.947220, SerializeSummary=0.020217, SerializeNames=0.458427, SerializeGatherableTextData=0.253469, BuildExportMap=0.536181, SortExportsNonSeekfree=6.694757, SortExportsSeekfreeConstructor=0.079308, SortExportsSeekfreeInner=50.633350, SortExportsSeekfree=0.007775, BuildDependencyMap=0.295769, SerializeImportMap=0.024259, SerializeExportMap=0.220817, SerializeDependencyMap=0.041675, SerializeStringAssetReferenceMap=0.002488, SaveThumbNailsAssetRegistryDataWorldLevelInfo=4.612561, SerializeExports=64.374306, SerializeBulkData=0.010885, MoveFile=3.714368, UnaccountedTime=0.309143, RunGuid=RunID2743EF4944F2C98B8C991B860CECE6D1
SavePackageTransactionId78FAE1E94A079EFE261DAFA77C4A9D21_12, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Levels/OverworldLevel.umap, AutoPackageBackupDelegate=51.059124, FlushAsyncLoading=0.010572, FlushStreamingFunc=0.090506, BlockTillAllRequestsFinished=0.005908, ResetLoadersForSaveUnMarkAllObjects=77.349876, TagPackageExports=9.770628, BeginCacheForCookedPlatformData=0.004042, SerializeImports=12.592718, GatherLocalizableTextData=14.206536, MarkNames=0.102632, SerializeSummary=0.018038, SerializeNames=0.526536, SerializeGatherableTextData=0.080861, BuildExportMap=0.384096, SortExportsNonSeekfree=1.855474, SortExportsSeekfreeConstructor=0.063758, SortExportsSeekfreeInner=27.317078, SortExportsSeekfree=0.006843, BuildDependencyMap=0.947330, SerializeImportMap=0.051938, SerializeExportMap=0.067800, SerializeDependencyMap=0.017729, SerializeStringAssetReferenceMap=0.002798, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.068516, SerializeExports=16.182371, SerializeBulkData=2.488688, MoveFile=3.172591, UnaccountedTime=1.517720, RunGuid=RunID2743EF4944F2C98B8C991B860CECE6D1
SavePackageTransactionId78FAE1E94A079EFE261DAFA77C4A9D21_13, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/MeleeDrawer.uasset, AutoPackageBackupDelegate=47.262959, FlushAsyncLoading=0.005599, FlushStreamingFunc=0.087082, BlockTillAllRequestsFinished=0.005599, ResetLoadersForSaveUnMarkAllObjects=0.112582, TagPackageExports=46.830345, BeginCacheForCookedPlatformData=0.007153, SerializeImports=50.272274, GatherLocalizableTextData=30.972044, MarkNames=0.175718, SerializeSummary=0.017729, SerializeNames=0.541463, SerializeGatherableTextData=0.235748, BuildExportMap=0.374451, SortExportsNonSeekfree=6.730527, SortExportsSeekfreeConstructor=0.074640, SortExportsSeekfreeInner=51.087425, SortExportsSeekfree=0.009019, BuildDependencyMap=0.302922, SerializeImportMap=0.023637, SerializeExportMap=0.204954, SerializeDependencyMap=0.039496, SerializeStringAssetReferenceMap=0.002488, SaveThumbNailsAssetRegistryDataWorldLevelInfo=4.703376, SerializeExports=62.947712, SerializeBulkData=0.010576, MoveFile=3.621999, UnaccountedTime=1.704324, RunGuid=RunID2743EF4944F2C98B8C991B860CECE6D1
SavePackageTransactionId78FAE1E94A079EFE261DAFA77C4A9D21_14, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Levels/OverworldLevel.umap, AutoPackageBackupDelegate=48.836655, FlushAsyncLoading=0.005290, FlushStreamingFunc=0.120047, BlockTillAllRequestsFinished=0.006221, ResetLoadersForSaveUnMarkAllObjects=77.144302, TagPackageExports=10.123622, BeginCacheForCookedPlatformData=0.004977, SerializeImports=12.245010, GatherLocalizableTextData=13.587627, MarkNames=0.101078, SerializeSummary=0.018351, SerializeNames=0.524670, SerializeGatherableTextData=0.084594, BuildExportMap=0.384405, SortExportsNonSeekfree=1.801983, SortExportsSeekfreeConstructor=0.064068, SortExportsSeekfreeInner=26.677959, SortExportsSeekfree=0.006218, BuildDependencyMap=2.504550, SerializeImportMap=0.061888, SerializeExportMap=0.068113, SerializeDependencyMap=0.017416, SerializeStringAssetReferenceMap=0.002488, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.048299, SerializeExports=16.158112, SerializeBulkData=2.549022, MoveFile=3.440682, UnaccountedTime=1.649898, RunGuid=RunID2743EF4944F2C98B8C991B860CECE6D1
SavePackageTransactionId78FAE1E94A079EFE261DAFA77C4A9D21_15, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/MeleeDrawer.uasset, AutoPackageBackupDelegate=48.001293, FlushAsyncLoading=0.005599, FlushStreamingFunc=0.130001, BlockTillAllRequestsFinished=0.005908, ResetLoadersForSaveUnMarkAllObjects=0.121605, TagPackageExports=46.194023, BeginCacheForCookedPlatformData=0.007153, SerializeImports=50.416267, GatherLocalizableTextData=28.023998, MarkNames=1.850188, SerializeSummary=0.023637, SerializeNames=0.457492, SerializeGatherableTextData=0.374455, BuildExportMap=0.376321, SortExportsNonSeekfree=7.050861, SortExportsSeekfreeConstructor=0.075888, SortExportsSeekfreeInner=51.917503, SortExportsSeekfree=0.009328, BuildDependencyMap=0.311319, SerializeImportMap=0.024259, SerializeExportMap=0.211176, SerializeDependencyMap=0.038873, SerializeStringAssetReferenceMap=0.002488, SaveThumbNailsAssetRegistryDataWorldLevelInfo=4.382417, SerializeExports=64.651726, SerializeBulkData=0.010572, MoveFile=3.910616, UnaccountedTime=1.617864, RunGuid=RunID2743EF4944F2C98B8C991B860CECE6D1
SavePackageTransactionId78FAE1E94A079EFE261DAFA77C4A9D21_16, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/MeleeDrawer.uasset, AutoPackageBackupDelegate=47.841125, FlushAsyncLoading=0.006221, FlushStreamingFunc=0.118181, BlockTillAllRequestsFinished=0.006221, ResetLoadersForSaveUnMarkAllObjects=0.133421, TagPackageExports=47.346619, BeginCacheForCookedPlatformData=0.006534, SerializeImports=53.494003, GatherLocalizableTextData=29.797680, MarkNames=0.173543, SerializeSummary=0.016794, SerializeNames=0.449095, SerializeGatherableTextData=0.221748, BuildExportMap=0.379432, SortExportsNonSeekfree=6.720260, SortExportsSeekfreeConstructor=0.071533, SortExportsSeekfreeInner=51.099861, SortExportsSeekfree=0.009023, BuildDependencyMap=0.315361, SerializeImportMap=0.023946, SerializeExportMap=0.207134, SerializeDependencyMap=0.038877, SerializeStringAssetReferenceMap=0.002798, SaveThumbNailsAssetRegistryDataWorldLevelInfo=4.625622, SerializeExports=65.976624, SerializeBulkData=0.011198, MoveFile=3.775015, UnaccountedTime=0.282392, RunGuid=RunID2743EF4944F2C98B8C991B860CECE6D1
SavePackageTransactionId78FAE1E94A079EFE261DAFA77C4A9D21_17, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Levels/OverworldLevel.umap, AutoPackageBackupDelegate=48.277466, FlushAsyncLoading=0.005286, FlushStreamingFunc=0.078686, BlockTillAllRequestsFinished=0.006530, ResetLoadersForSaveUnMarkAllObjects=78.543213, TagPackageExports=10.378961, BeginCacheForCookedPlatformData=0.004042, SerializeImports=12.094482, GatherLocalizableTextData=14.016509, MarkNames=0.096723, SerializeSummary=0.017416, SerializeNames=0.512231, SerializeGatherableTextData=0.084907, BuildExportMap=0.376318, SortExportsNonSeekfree=1.796070, SortExportsSeekfreeConstructor=0.061892, SortExportsSeekfreeInner=26.511568, SortExportsSeekfree=0.006221, BuildDependencyMap=2.023731, SerializeImportMap=0.051316, SerializeExportMap=0.067491, SerializeDependencyMap=0.017416, SerializeStringAssetReferenceMap=0.002488, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.062917, SerializeExports=15.799206, SerializeBulkData=2.522275, MoveFile=3.547668, UnaccountedTime=1.573388, RunGuid=RunID2743EF4944F2C98B8C991B860CECE6D1
SavePackageTransactionId78FAE1E94A079EFE261DAFA77C4A9D21_18, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Levels/OverworldLevel.umap, AutoPackageBackupDelegate=47.371498, FlushAsyncLoading=0.005908, FlushStreamingFunc=0.028301, BlockTillAllRequestsFinished=0.003733, ResetLoadersForSaveUnMarkAllObjects=79.503914, TagPackageExports=10.035917, BeginCacheForCookedPlatformData=0.005290, SerializeImports=12.256205, GatherLocalizableTextData=13.653253, MarkNames=0.219259, SerializeSummary=0.019282, SerializeNames=0.526536, SerializeGatherableTextData=0.082105, BuildExportMap=0.379119, SortExportsNonSeekfree=1.798872, SortExportsSeekfreeConstructor=0.064999, SortExportsSeekfreeInner=26.555737, SortExportsSeekfree=0.006530, BuildDependencyMap=0.187848, SerializeImportMap=0.052251, SerializeExportMap=0.069045, SerializeDependencyMap=0.016484, SerializeStringAssetReferenceMap=0.002488, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.959972, SerializeExports=15.328031, SerializeBulkData=2.602514, MoveFile=3.263093, UnaccountedTime=0.218328, RunGuid=RunID2743EF4944F2C98B8C991B860CECE6D1
