CookerStat, GenerateAssetRegistry=0.031412, Initialize=0.145551, RunGuid=RunIDE681C3444F53B012A8188CA051DE4A85
SavePackageTransactionIdB9A95551475613F98004F399BB44B2E8_11, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Assets/Sprites/SoulOrb_Default/Soul_Orb_Pulse_Sprite_11.uasset, AutoPackageBackupDelegate=0.124093, FlushAsyncLoading=0.004664, FlushStreamingFunc=0.076510, BlockTillAllRequestsFinished=0.004973, ResetLoadersForSaveUnMarkAllObjects=0.095479, TagPackageExports=0.028614, BeginCacheForCookedPlatformData=0.001553, SerializeImports=0.809554, GatherLocalizableTextData=0.159547, MarkNames=0.007775, SerializeSummary=0.010576, SerializeNames=0.050694, SerializeGatherableTextData=0.001553, BuildExportMap=0.019595, SortExportsNonSeekfree=0.006530, SortExportsSeekfreeConstructor=0.008088, SortExportsSeekfreeInner=0.562921, SortExportsSeekfree=0.003111, BuildDependencyMap=0.006843, SerializeImportMap=0.006530, SerializeExportMap=0.005599, SerializeDependencyMap=0.000935, SerializeStringAssetReferenceMap=0.001244, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.865810, SerializeExports=0.231389, SerializeBulkData=0.004664, MoveFile=2.563018, UnaccountedTime=1.707122, RunGuid=RunIDE681C3444F53B012A8188CA051DE4A85
SavePackageTransactionIdB9A95551475613F98004F399BB44B2E8_12, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Assets/Sprites/SoulOrb_Default/Soul_Orb_Pulse_Sprite_12.uasset, AutoPackageBackupDelegate=0.129692, FlushAsyncLoading=0.004042, FlushStreamingFunc=0.047583, BlockTillAllRequestsFinished=0.005290, ResetLoadersForSaveUnMarkAllObjects=0.097655, TagPackageExports=0.028614, BeginCacheForCookedPlatformData=0.001244, SerializeImports=0.792447, GatherLocalizableTextData=0.137154, MarkNames=0.007153, SerializeSummary=0.010576, SerializeNames=0.046961, SerializeGatherableTextData=0.001244, BuildExportMap=0.019595, SortExportsNonSeekfree=0.007462, SortExportsSeekfreeConstructor=0.008088, SortExportsSeekfreeInner=0.565100, SortExportsSeekfree=0.002798, BuildDependencyMap=0.006843, SerializeImportMap=0.006530, SerializeExportMap=0.005599, SerializeDependencyMap=0.000935, SerializeStringAssetReferenceMap=0.001244, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.705642, SerializeExports=0.371031, SerializeBulkData=0.005599, MoveFile=19.758333, UnaccountedTime=2.128229, RunGuid=RunIDE681C3444F53B012A8188CA051DE4A85
SavePackageTransactionIdB9A95551475613F98004F399BB44B2E8_13, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Assets/Sprites/SoulOrb_Default/Soul_Orb_Pulse_Sprite_13.uasset, AutoPackageBackupDelegate=0.125024, FlushAsyncLoading=0.004042, FlushStreamingFunc=0.057850, BlockTillAllRequestsFinished=0.005908, ResetLoadersForSaveUnMarkAllObjects=0.095479, TagPackageExports=0.028927, BeginCacheForCookedPlatformData=0.001553, SerializeImports=0.823859, GatherLocalizableTextData=0.141200, MarkNames=0.007153, SerializeSummary=0.011817, SerializeNames=0.048209, SerializeGatherableTextData=0.001244, BuildExportMap=0.019904, SortExportsNonSeekfree=0.005908, SortExportsSeekfreeConstructor=0.008084, SortExportsSeekfreeInner=0.598382, SortExportsSeekfree=0.004042, BuildDependencyMap=0.007153, SerializeImportMap=0.006530, SerializeExportMap=0.005286, SerializeDependencyMap=0.001244, SerializeStringAssetReferenceMap=0.001244, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.762244, SerializeExports=0.229213, SerializeBulkData=0.004977, MoveFile=2.742157, UnaccountedTime=1.757197, RunGuid=RunIDE681C3444F53B012A8188CA051DE4A85
SavePackageTransactionIdB9A95551475613F98004F399BB44B2E8_14, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Assets/Sprites/SoulOrb_Default/Soul_Orb_Pulse_Sprite_14.uasset, AutoPackageBackupDelegate=0.128135, FlushAsyncLoading=0.004042, FlushStreamingFunc=0.107922, BlockTillAllRequestsFinished=0.005599, ResetLoadersForSaveUnMarkAllObjects=0.098899, TagPackageExports=0.029858, BeginCacheForCookedPlatformData=0.001244, SerializeImports=0.849985, GatherLocalizableTextData=0.146795, MarkNames=0.007462, SerializeSummary=0.010885, SerializeNames=0.046965, SerializeGatherableTextData=0.001244, BuildExportMap=0.020213, SortExportsNonSeekfree=0.005908, SortExportsSeekfreeConstructor=0.007778, SortExportsSeekfreeInner=0.565410, SortExportsSeekfree=0.003111, BuildDependencyMap=0.006843, SerializeImportMap=0.006843, SerializeExportMap=0.005286, SerializeDependencyMap=0.000931, SerializeStringAssetReferenceMap=0.001553, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.782774, SerializeExports=0.237297, SerializeBulkData=0.004977, MoveFile=2.826128, UnaccountedTime=1.815356, RunGuid=RunIDE681C3444F53B012A8188CA051DE4A85
SavePackageTransactionIdB9A95551475613F98004F399BB44B2E8_15, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Assets/Sprites/SoulOrb_Default/Soul_Orb_Pulse_Sprite_15.uasset, AutoPackageBackupDelegate=0.121295, FlushAsyncLoading=0.003733, FlushStreamingFunc=0.035763, BlockTillAllRequestsFinished=0.003424, ResetLoadersForSaveUnMarkAllObjects=0.090502, TagPackageExports=0.028614, BeginCacheForCookedPlatformData=0.001553, SerializeImports=1.026325, GatherLocalizableTextData=0.160482, MarkNames=0.007465, SerializeSummary=0.012748, SerializeNames=0.047587, SerializeGatherableTextData=0.001244, BuildExportMap=0.020213, SortExportsNonSeekfree=0.005908, SortExportsSeekfreeConstructor=0.008710, SortExportsSeekfreeInner=0.573188, SortExportsSeekfree=0.003733, BuildDependencyMap=0.006840, SerializeImportMap=0.006843, SerializeExportMap=0.004977, SerializeDependencyMap=0.001557, SerializeStringAssetReferenceMap=0.001241, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.617628, SerializeExports=0.229836, SerializeBulkData=0.005286, MoveFile=2.807777, UnaccountedTime=1.678821, RunGuid=RunIDE681C3444F53B012A8188CA051DE4A85
SavePackageTransactionIdB9A95551475613F98004F399BB44B2E8_16, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Assets/Sprites/SoulOrb_Default/Soul_Orb_Pulse_Sprite_16.uasset, AutoPackageBackupDelegate=0.115070, FlushAsyncLoading=0.003733, FlushStreamingFunc=0.059403, BlockTillAllRequestsFinished=0.003733, ResetLoadersForSaveUnMarkAllObjects=0.087705, TagPackageExports=0.028923, BeginCacheForCookedPlatformData=0.001557, SerializeImports=0.799913, GatherLocalizableTextData=0.162657, MarkNames=0.007462, SerializeSummary=0.011198, SerializeNames=0.048518, SerializeGatherableTextData=0.001241, BuildExportMap=0.020217, SortExportsNonSeekfree=0.005908, SortExportsSeekfreeConstructor=0.008088, SortExportsSeekfreeInner=0.572875, SortExportsSeekfree=0.002801, BuildDependencyMap=0.007462, SerializeImportMap=0.006530, SerializeExportMap=0.004977, SerializeDependencyMap=0.001244, SerializeStringAssetReferenceMap=0.001244, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.826933, SerializeExports=0.230771, SerializeBulkData=0.004664, MoveFile=2.673425, UnaccountedTime=1.756571, RunGuid=RunIDE681C3444F53B012A8188CA051DE4A85
SavePackageTransactionIdB9A95551475613F98004F399BB44B2E8_17, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Assets/Sprites/SoulOrb_Default/Soul_Orb_Pulse_Sprite_17.uasset, AutoPackageBackupDelegate=0.107296, FlushAsyncLoading=0.003733, FlushStreamingFunc=0.028301, BlockTillAllRequestsFinished=0.004355, ResetLoadersForSaveUnMarkAllObjects=0.092681, TagPackageExports=0.028923, BeginCacheForCookedPlatformData=0.001244, SerializeImports=0.752330, GatherLocalizableTextData=0.139020, MarkNames=0.007462, SerializeSummary=0.010885, SerializeNames=0.047274, SerializeGatherableTextData=0.001244, BuildExportMap=0.019282, SortExportsNonSeekfree=0.005908, SortExportsSeekfreeConstructor=0.008088, SortExportsSeekfreeInner=0.570700, SortExportsSeekfree=0.003111, BuildDependencyMap=0.006843, SerializeImportMap=0.006530, SerializeExportMap=0.005286, SerializeDependencyMap=0.001244, SerializeStringAssetReferenceMap=0.001244, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.773442, SerializeExports=0.228900, SerializeBulkData=0.004977, MoveFile=2.539382, UnaccountedTime=1.797315, RunGuid=RunIDE681C3444F53B012A8188CA051DE4A85
SavePackageTransactionIdB9A95551475613F98004F399BB44B2E8_18, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Assets/Sprites/SoulOrb_Default/Soul_Orb_Pulse_Sprite_18.uasset, AutoPackageBackupDelegate=0.123467, FlushAsyncLoading=0.003733, FlushStreamingFunc=0.059403, BlockTillAllRequestsFinished=0.004042, ResetLoadersForSaveUnMarkAllObjects=0.090193, TagPackageExports=0.028614, BeginCacheForCookedPlatformData=0.001244, SerializeImports=0.775654, GatherLocalizableTextData=0.147726, MarkNames=0.007465, SerializeSummary=0.010576, SerializeNames=0.047583, SerializeGatherableTextData=0.000931, BuildExportMap=0.019595, SortExportsNonSeekfree=0.005908, SortExportsSeekfreeConstructor=0.008397, SortExportsSeekfreeInner=0.585008, SortExportsSeekfree=0.002798, BuildDependencyMap=0.007153, SerializeImportMap=0.006843, SerializeExportMap=0.005286, SerializeDependencyMap=0.001244, SerializeStringAssetReferenceMap=0.001557, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.660856, SerializeExports=0.251915, SerializeBulkData=0.004977, MoveFile=2.417464, UnaccountedTime=1.547888, RunGuid=RunIDE681C3444F53B012A8188CA051DE4A85
SavePackageTransactionIdB9A95551475613F98004F399BB44B2E8_19, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Assets/Sprites/SoulOrb_Default/Soul_Orb_Pulse_Sprite_19.uasset, AutoPackageBackupDelegate=0.143684, FlushAsyncLoading=0.003733, FlushStreamingFunc=0.042919, BlockTillAllRequestsFinished=0.004046, ResetLoadersForSaveUnMarkAllObjects=0.089258, TagPackageExports=0.028610, BeginCacheForCookedPlatformData=0.001557, SerializeImports=0.940178, GatherLocalizableTextData=0.143684, MarkNames=0.007153, SerializeSummary=0.011198, SerializeNames=0.048205, SerializeGatherableTextData=0.001244, BuildExportMap=0.020213, SortExportsNonSeekfree=0.005912, SortExportsSeekfreeConstructor=0.008397, SortExportsSeekfreeInner=0.580028, SortExportsSeekfree=0.002801, BuildDependencyMap=0.006840, SerializeImportMap=0.006843, SerializeExportMap=0.005286, SerializeDependencyMap=0.000935, SerializeStringAssetReferenceMap=0.001553, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.622292, SerializeExports=0.246320, SerializeBulkData=0.004664, MoveFile=2.497084, UnaccountedTime=1.554105, RunGuid=RunIDE681C3444F53B012A8188CA051DE4A85
SavePackageTransactionIdB9A95551475613F98004F399BB44B2E8_20, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Assets/Sprites/SoulOrb_Default/Soul_Orb_Pulse_Sprite_20.uasset, AutoPackageBackupDelegate=0.117250, FlushAsyncLoading=0.004042, FlushStreamingFunc=0.040743, BlockTillAllRequestsFinished=0.004042, ResetLoadersForSaveUnMarkAllObjects=0.091124, TagPackageExports=0.028923, BeginCacheForCookedPlatformData=0.001244, SerializeImports=1.096617, GatherLocalizableTextData=0.150837, MarkNames=0.007465, SerializeSummary=0.014305, SerializeNames=0.048518, SerializeGatherableTextData=0.001553, BuildExportMap=0.020839, SortExportsNonSeekfree=0.006530, SortExportsSeekfreeConstructor=0.009019, SortExportsSeekfreeInner=0.612997, SortExportsSeekfree=0.004042, BuildDependencyMap=0.007465, SerializeImportMap=0.006221, SerializeExportMap=0.043850, SerializeDependencyMap=0.000935, SerializeStringAssetReferenceMap=0.001553, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.378461, SerializeExports=0.225171, SerializeBulkData=0.004664, MoveFile=2.549332, UnaccountedTime=1.570590, RunGuid=RunIDE681C3444F53B012A8188CA051DE4A85
