CookerStat, GenerateAssetRegistry=0.053495, Initialize=74.240364, RunGuid=RunID998CB9D847C3CE7D4D7C318E17853538
SavePackageTransactionIdBD9490694DCF2BE90F678786993E0A48_11, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattlePlayerController_BP.uasset, AutoPackageBackupDelegate=11.606812, FlushAsyncLoading=0.005290, FlushStreamingFunc=0.081483, BlockTillAllRequestsFinished=0.005908, ResetLoadersForSaveUnMarkAllObjects=0.124402, TagPackageExports=13.525732, BeginCacheForCookedPlatformData=0.004042, SerializeImports=15.268933, GatherLocalizableTextData=9.653993, MarkNames=0.079617, SerializeSummary=0.014618, SerializeNames=0.369165, SerializeGatherableTextData=0.129070, BuildExportMap=0.271197, SortExportsNonSeekfree=2.162438, SortExportsSeekfreeConstructor=0.059403, SortExportsSeekfreeInner=18.801666, SortExportsSeekfree=0.007465, BuildDependencyMap=0.120360, SerializeImportMap=0.023637, SerializeExportMap=0.073396, SerializeDependencyMap=0.016794, SerializeStringAssetReferenceMap=0.002179, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.683485, SerializeExports=18.929180, SerializeBulkData=0.009954, MoveFile=3.256563, UnaccountedTime=1.550376, RunGuid=RunID998CB9D847C3CE7D4D7C318E17853538
SavePackageTransactionIdBD9490694DCF2BE90F678786993E0A48_12, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattlePlayerController_BP.uasset, AutoPackageBackupDelegate=9.372223, FlushAsyncLoading=0.010572, FlushStreamingFunc=0.116318, BlockTillAllRequestsFinished=0.006530, ResetLoadersForSaveUnMarkAllObjects=0.130937, TagPackageExports=12.928597, BeginCacheForCookedPlatformData=0.004042, SerializeImports=15.641205, GatherLocalizableTextData=9.629425, MarkNames=0.094548, SerializeSummary=0.019904, SerializeNames=0.347394, SerializeGatherableTextData=0.120983, BuildExportMap=0.264049, SortExportsNonSeekfree=1.888126, SortExportsSeekfreeConstructor=0.060026, SortExportsSeekfreeInner=18.403265, SortExportsSeekfree=0.007465, BuildDependencyMap=0.115383, SerializeImportMap=0.023950, SerializeExportMap=0.069663, SerializeDependencyMap=0.016484, SerializeStringAssetReferenceMap=0.002488, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.627814, SerializeExports=19.188560, SerializeBulkData=0.010885, MoveFile=3.231995, UnaccountedTime=1.504969, RunGuid=RunID998CB9D847C3CE7D4D7C318E17853538
SavePackageTransactionIdBD9490694DCF2BE90F678786993E0A48_13, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattleGameMode_BP.uasset, AutoPackageBackupDelegate=12.875725, FlushAsyncLoading=0.010885, FlushStreamingFunc=0.060335, BlockTillAllRequestsFinished=0.005912, ResetLoadersForSaveUnMarkAllObjects=0.116628, TagPackageExports=1.720186, BeginCacheForCookedPlatformData=0.002798, SerializeImports=2.923165, GatherLocalizableTextData=2.608731, MarkNames=0.021771, SerializeSummary=0.013996, SerializeNames=0.111651, SerializeGatherableTextData=0.106987, BuildExportMap=0.086773, SortExportsNonSeekfree=0.139643, SortExportsSeekfreeConstructor=0.054426, SortExportsSeekfreeInner=6.435994, SortExportsSeekfree=0.004668, BuildDependencyMap=0.024877, SerializeImportMap=0.009950, SerializeExportMap=0.013996, SerializeDependencyMap=0.004042, SerializeStringAssetReferenceMap=0.001866, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.304788, SerializeExports=2.407823, SerializeBulkData=0.004355, MoveFile=3.035747, UnaccountedTime=1.478221, RunGuid=RunID998CB9D847C3CE7D4D7C318E17853538
SavePackageTransactionIdBD9490694DCF2BE90F678786993E0A48_14, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattleGameMode_BP.uasset, AutoPackageBackupDelegate=8.047950, FlushAsyncLoading=0.005290, FlushStreamingFunc=0.111029, BlockTillAllRequestsFinished=0.005286, ResetLoadersForSaveUnMarkAllObjects=0.112899, TagPackageExports=1.619108, BeginCacheForCookedPlatformData=0.002488, SerializeImports=2.892371, GatherLocalizableTextData=2.557106, MarkNames=0.021461, SerializeSummary=0.012752, SerializeNames=0.112273, SerializeGatherableTextData=0.102632, BuildExportMap=0.086773, SortExportsNonSeekfree=0.158612, SortExportsSeekfreeConstructor=0.008710, SortExportsSeekfreeInner=6.298840, SortExportsSeekfree=0.004668, BuildDependencyMap=0.024255, SerializeImportMap=0.009954, SerializeExportMap=0.013992, SerializeDependencyMap=0.003733, SerializeStringAssetReferenceMap=0.001863, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.310078, SerializeExports=2.468467, SerializeBulkData=0.004355, MoveFile=2.542801, UnaccountedTime=1.552552, RunGuid=RunID998CB9D847C3CE7D4D7C318E17853538
SavePackageTransactionIdBD9490694DCF2BE90F678786993E0A48_15, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattleGameMode_BP.uasset, AutoPackageBackupDelegate=7.827133, FlushAsyncLoading=0.003733, FlushStreamingFunc=0.112895, BlockTillAllRequestsFinished=0.005286, ResetLoadersForSaveUnMarkAllObjects=0.101700, TagPackageExports=1.538556, BeginCacheForCookedPlatformData=0.002176, SerializeImports=2.736870, GatherLocalizableTextData=2.731893, MarkNames=0.021771, SerializeSummary=0.011817, SerializeNames=0.112895, SerializeGatherableTextData=0.104811, BuildExportMap=0.088327, SortExportsNonSeekfree=0.153638, SortExportsSeekfreeConstructor=0.054114, SortExportsSeekfreeInner=6.161686, SortExportsSeekfree=0.004046, BuildDependencyMap=0.024881, SerializeImportMap=0.010263, SerializeExportMap=0.034213, SerializeDependencyMap=0.004042, SerializeStringAssetReferenceMap=0.001557, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.334956, SerializeExports=2.433944, SerializeBulkData=0.004355, MoveFile=4.302483, UnaccountedTime=1.507454, RunGuid=RunID998CB9D847C3CE7D4D7C318E17853538
SavePackageTransactionIdBD9490694DCF2BE90F678786993E0A48_16, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Saved/Autosaves/Game/Blueprints/BattlePlayerController_BP_Auto1.uasset, AutoPackageBackupDelegate=14.633544, FlushAsyncLoading=0.020836, FlushStreamingFunc=0.074331, BlockTillAllRequestsFinished=0.007775, ResetLoadersForSaveUnMarkAllObjects=0.165146, TagPackageExports=15.917692, BeginCacheForCookedPlatformData=0.011507, SerializeImports=17.374453, GatherLocalizableTextData=10.528236, MarkNames=0.107609, SerializeSummary=0.028923, SerializeNames=0.396535, SerializeGatherableTextData=0.149906, BuildExportMap=0.292972, SortExportsNonSeekfree=2.165858, SortExportsSeekfreeConstructor=0.122536, SortExportsSeekfreeInner=20.811714, SortExportsSeekfree=0.013996, BuildDependencyMap=0.177272, SerializeImportMap=0.024881, SerializeExportMap=0.071533, SerializeDependencyMap=0.018042, SerializeStringAssetReferenceMap=0.003107, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.055451, SerializeExports=21.263298, SerializeBulkData=0.012439, MoveFile=15.091345, UnaccountedTime=0.254091, RunGuid=RunID998CB9D847C3CE7D4D7C318E17853538
SavePackageTransactionIdBD9490694DCF2BE90F678786993E0A48_17, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Levels/OverworldLevel.umap, AutoPackageBackupDelegate=13.223742, FlushAsyncLoading=0.009954, FlushStreamingFunc=0.046030, BlockTillAllRequestsFinished=0.006218, ResetLoadersForSaveUnMarkAllObjects=65.126907, TagPackageExports=3.944825, BeginCacheForCookedPlatformData=0.003729, SerializeImports=5.030241, GatherLocalizableTextData=8.728437, MarkNames=0.061270, SerializeSummary=0.017103, SerializeNames=0.375386, SerializeGatherableTextData=0.048831, BuildExportMap=0.233565, SortExportsNonSeekfree=0.570700, SortExportsSeekfreeConstructor=0.063445, SortExportsSeekfreeInner=15.074551, SortExportsSeekfree=0.005908, BuildDependencyMap=0.095792, SerializeImportMap=0.034835, SerializeExportMap=0.061888, SerializeDependencyMap=0.006843, SerializeStringAssetReferenceMap=0.002176, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.094438, SerializeExports=6.228242, SerializeBulkData=2.662227, MoveFile=3.603961, UnaccountedTime=0.188157, RunGuid=RunID998CB9D847C3CE7D4D7C318E17853538
SavePackageTransactionIdBD9490694DCF2BE90F678786993E0A48_18, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattleGameMode_BP.uasset, AutoPackageBackupDelegate=13.270702, FlushAsyncLoading=0.009023, FlushStreamingFunc=0.056602, BlockTillAllRequestsFinished=0.004664, ResetLoadersForSaveUnMarkAllObjects=0.117563, TagPackageExports=0.798047, BeginCacheForCookedPlatformData=0.002179, SerializeImports=1.702767, GatherLocalizableTextData=1.428772, MarkNames=0.020836, SerializeSummary=0.011507, SerializeNames=0.103254, SerializeGatherableTextData=0.080861, BuildExportMap=0.073399, SortExportsNonSeekfree=0.054117, SortExportsSeekfreeConstructor=0.054426, SortExportsSeekfreeInner=5.140025, SortExportsSeekfree=0.004977, BuildDependencyMap=0.019282, SerializeImportMap=0.009641, SerializeExportMap=0.009950, SerializeDependencyMap=0.001866, SerializeStringAssetReferenceMap=0.001553, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.288304, SerializeExports=1.347598, SerializeBulkData=0.004977, MoveFile=2.639525, UnaccountedTime=1.516476, RunGuid=RunID998CB9D847C3CE7D4D7C318E17853538
SavePackageTransactionIdBD9490694DCF2BE90F678786993E0A48_19, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Levels/OverworldLevel.umap, AutoPackageBackupDelegate=19.458826, FlushAsyncLoading=0.011820, FlushStreamingFunc=0.056602, BlockTillAllRequestsFinished=0.007153, ResetLoadersForSaveUnMarkAllObjects=70.899529, TagPackageExports=6.333049, BeginCacheForCookedPlatformData=0.003424, SerializeImports=7.936299, GatherLocalizableTextData=11.113241, MarkNames=0.072155, SerializeSummary=0.016171, SerializeNames=0.427015, SerializeGatherableTextData=0.063755, BuildExportMap=0.253472, SortExportsNonSeekfree=1.124606, SortExportsSeekfreeConstructor=0.069354, SortExportsSeekfreeInner=18.232834, SortExportsSeekfree=0.006221, BuildDependencyMap=0.128135, SerializeImportMap=0.036698, SerializeExportMap=0.052560, SerializeDependencyMap=0.009641, SerializeStringAssetReferenceMap=0.001553, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.434989, SerializeExports=10.302137, SerializeBulkData=2.610289, MoveFile=3.069647, UnaccountedTime=1.630615, RunGuid=RunID998CB9D847C3CE7D4D7C318E17853538
SavePackageTransactionIdBD9490694DCF2BE90F678786993E0A48_20, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Levels/OverworldLevel.umap, AutoPackageBackupDelegate=8.387882, FlushAsyncLoading=0.005286, FlushStreamingFunc=0.072464, BlockTillAllRequestsFinished=0.006530, ResetLoadersForSaveUnMarkAllObjects=65.483322, TagPackageExports=6.328698, BeginCacheForCookedPlatformData=0.002798, SerializeImports=7.890269, GatherLocalizableTextData=10.704268, MarkNames=0.081174, SerializeSummary=0.021461, SerializeNames=0.407729, SerializeGatherableTextData=0.069045, BuildExportMap=0.253472, SortExportsNonSeekfree=1.050584, SortExportsSeekfreeConstructor=0.062510, SortExportsSeekfreeInner=18.139221, SortExportsSeekfree=0.006534, BuildDependencyMap=0.128444, SerializeImportMap=0.042606, SerializeExportMap=0.051629, SerializeDependencyMap=0.009641, SerializeStringAssetReferenceMap=0.002176, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.454584, SerializeExports=10.386418, SerializeBulkData=3.018953, MoveFile=3.518742, UnaccountedTime=0.222061, RunGuid=RunID998CB9D847C3CE7D4D7C318E17853538
