DDCTransactionIdFB8A0DAD48E8A1EA912F3C925CF5D3AC_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_9D536FDE46F369CA145629ABCFB96A1F_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.07.07-14.13.26, Duration=4.403874, RunGuid=RunID55DDB98D4F0047047E040D9760946F9D
DDCTransactionId54BEFE8C4119D61FE2C886893B8F39C1_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_9D536FDE46F369CA145629ABCFB96__10A1DC33277DDC58D2CDC1306162C7878CECF691, StartTime=2016.07.07-14.13.26, HierarchicalDDC=, DataSize=65799, Duration=3.088307, RunGuid=RunID55DDB98D4F0047047E040D9760946F9D
DDCTransactionId830959004B48FC962782D28695CE27E9_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_9D536FDE46F369CA145629ABCFB96__8279DB20A19141F7A3636BD9EC3181BA7BD5ACBF, StartTime=2016.07.07-14.13.26, HierarchicalDDC=, DataSize=16647, Duration=3.039479, RunGuid=RunID55DDB98D4F0047047E040D9760946F9D
DDCTransactionId8B31BDC7457B13B5A84F34BEA4AE0D49_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_9D536FDE46F369CA145629ABCFB96__76DFEE9ECA46CC59E53A871B68FF96207A3DC7B7, StartTime=2016.07.07-14.13.26, HierarchicalDDC=, DataSize=6604, Duration=3.330894, RunGuid=RunID55DDB98D4F0047047E040D9760946F9D
