CookerStat, GenerateAssetRegistry=0.025190, Initialize=0.155192, RunGuid=RunID06A81A98433952BCF0FA6488A71D14AB
SavePackageTransactionId448A2E244743A2D009889A8B39BF2D1A_11, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/OrbPattern_BP.uasset, AutoPackageBackupDelegate=11.896976, FlushAsyncLoading=0.005286, FlushStreamingFunc=0.100769, BlockTillAllRequestsFinished=0.005286, ResetLoadersForSaveUnMarkAllObjects=0.112273, TagPackageExports=15.254613, BeginCacheForCookedPlatformData=0.005286, SerializeImports=17.212410, GatherLocalizableTextData=14.586881, MarkNames=0.091746, SerializeSummary=0.015549, SerializeNames=0.357971, SerializeGatherableTextData=0.123158, BuildExportMap=0.311941, SortExportsNonSeekfree=2.220284, SortExportsSeekfreeConstructor=0.012752, SortExportsSeekfreeInner=18.072344, SortExportsSeekfree=0.007775, BuildDependencyMap=0.141196, SerializeImportMap=0.023946, SerializeExportMap=0.091437, SerializeDependencyMap=0.019282, SerializeStringAssetReferenceMap=0.002179, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.886569, SerializeExports=21.395773, SerializeBulkData=0.010263, MoveFile=3.245365, UnaccountedTime=1.735736, RunGuid=RunID06A81A98433952BCF0FA6488A71D14AB
SavePackageTransactionId448A2E244743A2D009889A8B39BF2D1A_12, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/OrbPattern_BP.uasset, AutoPackageBackupDelegate=19.025270, FlushAsyncLoading=0.005599, FlushStreamingFunc=0.074018, BlockTillAllRequestsFinished=0.005290, ResetLoadersForSaveUnMarkAllObjects=0.109784, TagPackageExports=15.550692, BeginCacheForCookedPlatformData=0.006221, SerializeImports=17.412073, GatherLocalizableTextData=11.574462, MarkNames=0.089571, SerializeSummary=0.015859, SerializeNames=0.350509, SerializeGatherableTextData=0.105429, BuildExportMap=0.316296, SortExportsNonSeekfree=2.321050, SortExportsSeekfreeConstructor=0.061270, SortExportsSeekfreeInner=18.885937, SortExportsSeekfree=0.007778, BuildDependencyMap=0.139952, SerializeImportMap=0.024259, SerializeExportMap=0.088327, SerializeDependencyMap=0.019904, SerializeStringAssetReferenceMap=0.002488, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.851737, SerializeExports=21.512400, SerializeBulkData=0.010572, MoveFile=3.517497, UnaccountedTime=1.671977, RunGuid=RunID06A81A98433952BCF0FA6488A71D14AB
SavePackageTransactionId448A2E244743A2D009889A8B39BF2D1A_13, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Levels/OverworldLevel.umap, AutoPackageBackupDelegate=12.483847, FlushAsyncLoading=0.005599, FlushStreamingFunc=0.085216, BlockTillAllRequestsFinished=0.006221, ResetLoadersForSaveUnMarkAllObjects=70.543068, TagPackageExports=7.938471, BeginCacheForCookedPlatformData=0.004046, SerializeImports=10.042746, GatherLocalizableTextData=12.232553, MarkNames=0.079308, SerializeSummary=0.016484, SerializeNames=0.507563, SerializeGatherableTextData=0.047583, BuildExportMap=0.345841, SortExportsNonSeekfree=1.434989, SortExportsSeekfreeConstructor=0.058468, SortExportsSeekfreeInner=22.191641, SortExportsSeekfree=0.007775, BuildDependencyMap=0.160482, SerializeImportMap=0.041366, SerializeExportMap=0.060026, SerializeDependencyMap=0.011194, SerializeStringAssetReferenceMap=0.001557, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.723293, SerializeExports=12.429107, SerializeBulkData=2.538133, MoveFile=3.219549, UnaccountedTime=1.614444, RunGuid=RunID06A81A98433952BCF0FA6488A71D14AB
SavePackageTransactionId448A2E244743A2D009889A8B39BF2D1A_14, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/OrbPattern_BP.uasset, AutoPackageBackupDelegate=19.559582, FlushAsyncLoading=0.005912, FlushStreamingFunc=0.067797, BlockTillAllRequestsFinished=0.005599, ResetLoadersForSaveUnMarkAllObjects=0.110719, TagPackageExports=15.974909, BeginCacheForCookedPlatformData=0.006530, SerializeImports=18.801033, GatherLocalizableTextData=11.445704, MarkNames=0.103254, SerializeSummary=0.016171, SerializeNames=0.360459, SerializeGatherableTextData=0.092681, BuildExportMap=0.315048, SortExportsNonSeekfree=2.317008, SortExportsSeekfreeConstructor=0.064380, SortExportsSeekfreeInner=19.090582, SortExportsSeekfree=0.008084, BuildDependencyMap=0.143997, SerializeImportMap=0.024568, SerializeExportMap=0.088636, SerializeDependencyMap=0.018973, SerializeStringAssetReferenceMap=0.002176, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.846451, SerializeExports=21.707714, SerializeBulkData=0.010576, MoveFile=3.395893, UnaccountedTime=1.595158, RunGuid=RunID06A81A98433952BCF0FA6488A71D14AB
SavePackageTransactionId448A2E244743A2D009889A8B39BF2D1A_15, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/OrbPattern_BP.uasset, AutoPackageBackupDelegate=19.435801, FlushAsyncLoading=0.005599, FlushStreamingFunc=0.138711, BlockTillAllRequestsFinished=0.004973, ResetLoadersForSaveUnMarkAllObjects=0.103567, TagPackageExports=15.490356, BeginCacheForCookedPlatformData=0.005286, SerializeImports=18.049330, GatherLocalizableTextData=10.949958, MarkNames=0.088636, SerializeSummary=0.015240, SerializeNames=0.367299, SerializeGatherableTextData=0.091437, BuildExportMap=0.312254, SortExportsNonSeekfree=2.219658, SortExportsSeekfreeConstructor=0.058472, SortExportsSeekfreeInner=18.279161, SortExportsSeekfree=0.007153, BuildDependencyMap=0.139333, SerializeImportMap=0.024568, SerializeExportMap=0.088640, SerializeDependencyMap=0.018664, SerializeStringAssetReferenceMap=0.002176, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.805399, SerializeExports=22.077188, SerializeBulkData=0.010576, MoveFile=3.407087, UnaccountedTime=1.550063, RunGuid=RunID06A81A98433952BCF0FA6488A71D14AB
SavePackageTransactionId448A2E244743A2D009889A8B39BF2D1A_16, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/OrbPattern_BP.uasset, AutoPackageBackupDelegate=28.622658, FlushAsyncLoading=0.013996, FlushStreamingFunc=0.061266, BlockTillAllRequestsFinished=0.006221, ResetLoadersForSaveUnMarkAllObjects=0.130937, TagPackageExports=15.640888, BeginCacheForCookedPlatformData=0.006530, SerializeImports=17.652172, GatherLocalizableTextData=11.359553, MarkNames=0.093613, SerializeSummary=0.017107, SerializeNames=0.428569, SerializeGatherableTextData=0.086769, BuildExportMap=0.329357, SortExportsNonSeekfree=2.304878, SortExportsSeekfreeConstructor=0.065625, SortExportsSeekfreeInner=18.533566, SortExportsSeekfree=0.007465, BuildDependencyMap=0.180382, SerializeImportMap=0.024568, SerializeExportMap=0.088640, SerializeDependencyMap=0.018969, SerializeStringAssetReferenceMap=0.003111, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.840543, SerializeExports=22.221498, SerializeBulkData=0.010885, MoveFile=3.329337, UnaccountedTime=1.612883, RunGuid=RunID06A81A98433952BCF0FA6488A71D14AB
SavePackageTransactionId448A2E244743A2D009889A8B39BF2D1A_17, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/OrbPattern_BP.uasset, AutoPackageBackupDelegate=18.728256, FlushAsyncLoading=0.005286, FlushStreamingFunc=0.090193, BlockTillAllRequestsFinished=0.005599, ResetLoadersForSaveUnMarkAllObjects=0.110406, TagPackageExports=14.911882, BeginCacheForCookedPlatformData=0.004977, SerializeImports=17.487339, GatherLocalizableTextData=11.383500, MarkNames=0.091437, SerializeSummary=0.015862, SerializeNames=0.360146, SerializeGatherableTextData=0.088014, BuildExportMap=0.334956, SortExportsNonSeekfree=2.300523, SortExportsSeekfreeConstructor=0.061270, SortExportsSeekfreeInner=18.396101, SortExportsSeekfree=0.007775, BuildDependencyMap=0.141822, SerializeImportMap=0.088323, SerializeExportMap=0.090815, SerializeDependencyMap=0.019286, SerializeStringAssetReferenceMap=0.003107, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.806024, SerializeExports=21.419407, SerializeBulkData=0.011198, MoveFile=3.947619, UnaccountedTime=1.812242, RunGuid=RunID06A81A98433952BCF0FA6488A71D14AB
SavePackageTransactionId448A2E244743A2D009889A8B39BF2D1A_18, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Levels/OverworldLevel.umap, AutoPackageBackupDelegate=12.321189, FlushAsyncLoading=0.004668, FlushStreamingFunc=0.119116, BlockTillAllRequestsFinished=0.005286, ResetLoadersForSaveUnMarkAllObjects=68.818840, TagPackageExports=8.098330, BeginCacheForCookedPlatformData=0.003420, SerializeImports=9.822242, GatherLocalizableTextData=12.439374, MarkNames=0.083040, SerializeSummary=0.034209, SerializeNames=0.504144, SerializeGatherableTextData=0.048205, BuildExportMap=0.344910, SortExportsNonSeekfree=1.485992, SortExportsSeekfreeConstructor=0.062823, SortExportsSeekfreeInner=22.404369, SortExportsSeekfree=0.006534, BuildDependencyMap=0.160791, SerializeImportMap=0.050385, SerializeExportMap=0.061579, SerializeDependencyMap=0.011198, SerializeStringAssetReferenceMap=0.001866, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.701523, SerializeExports=12.367841, SerializeBulkData=2.915695, MoveFile=3.017709, UnaccountedTime=1.597956, RunGuid=RunID06A81A98433952BCF0FA6488A71D14AB
SavePackageTransactionId448A2E244743A2D009889A8B39BF2D1A_19, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/OrbPattern_BP.uasset, AutoPackageBackupDelegate=12.425378, FlushAsyncLoading=0.005290, FlushStreamingFunc=0.122536, BlockTillAllRequestsFinished=0.005599, ResetLoadersForSaveUnMarkAllObjects=0.112582, TagPackageExports=15.671056, BeginCacheForCookedPlatformData=0.006221, SerializeImports=17.030775, GatherLocalizableTextData=11.194098, MarkNames=0.088949, SerializeSummary=0.014927, SerializeNames=0.399645, SerializeGatherableTextData=0.086151, BuildExportMap=0.314429, SortExportsNonSeekfree=2.288081, SortExportsSeekfreeConstructor=0.013374, SortExportsSeekfreeInner=18.706799, SortExportsSeekfree=0.008088, BuildDependencyMap=0.141509, SerializeImportMap=0.024259, SerializeExportMap=0.088327, SerializeDependencyMap=0.018660, SerializeStringAssetReferenceMap=0.002179, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.898076, SerializeExports=21.269814, SerializeBulkData=0.010885, MoveFile=5.132560, UnaccountedTime=1.514606, RunGuid=RunID06A81A98433952BCF0FA6488A71D14AB
SavePackageTransactionId448A2E244743A2D009889A8B39BF2D1A_20, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/OrbPattern_BP.uasset, AutoPackageBackupDelegate=19.311398, FlushAsyncLoading=0.005908, FlushStreamingFunc=0.110719, BlockTillAllRequestsFinished=0.004664, ResetLoadersForSaveUnMarkAllObjects=0.121914, TagPackageExports=16.171776, BeginCacheForCookedPlatformData=0.004977, SerializeImports=18.326748, GatherLocalizableTextData=11.924032, MarkNames=0.110719, SerializeSummary=0.015862, SerializeNames=0.355791, SerializeGatherableTextData=0.107296, BuildExportMap=0.322826, SortExportsNonSeekfree=2.270356, SortExportsSeekfreeConstructor=0.063136, SortExportsSeekfreeInner=19.460369, SortExportsSeekfree=0.007156, BuildDependencyMap=0.146795, SerializeImportMap=0.023637, SerializeExportMap=0.096101, SerializeDependencyMap=0.019591, SerializeStringAssetReferenceMap=0.002488, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.038036, SerializeExports=22.586931, SerializeBulkData=0.010263, MoveFile=3.391847, UnaccountedTime=1.607910, RunGuid=RunID06A81A98433952BCF0FA6488A71D14AB
