CookerStat, GenerateAssetRegistry=0.062823, Initialize=74.306618, RunGuid=RunID20F32B604B8A6A30FDB78C9B3D190DD0
SavePackageTransactionId1103D8044B3EE8A766CB9D875B206118_0, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/FahadPlayerController/FahadChangesBattlePlayerController_BP.uasset, AutoPackageBackupDelegate=65.608345, FlushAsyncLoading=0.012442, FlushStreamingFunc=0.088014, BlockTillAllRequestsFinished=0.005286, ResetLoadersForSaveUnMarkAllObjects=0.325315, TagPackageExports=10.510511, BeginCacheForCookedPlatformData=0.006840, SerializeImports=26.842155, GatherLocalizableTextData=7.068585, MarkNames=0.066247, SerializeSummary=0.018969, SerializeNames=0.377566, SerializeGatherableTextData=0.093613, BuildExportMap=0.251293, SortExportsNonSeekfree=1.879111, SortExportsSeekfreeConstructor=0.081174, SortExportsSeekfreeInner=14.651269, SortExportsSeekfree=0.006840, BuildDependencyMap=0.093304, SerializeImportMap=0.025190, SerializeExportMap=0.056293, SerializeDependencyMap=0.038255, SerializeStringAssetReferenceMap=0.003420, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.717385, SerializeExports=14.924024, SerializeBulkData=0.026125, MoveFile=3.597740, UnaccountedTime=43.305664, RunGuid=RunID20F32B604B8A6A30FDB78C9B3D190DD0
SavePackageTransactionId1103D8044B3EE8A766CB9D875B206118_1, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/FahadPlayerController/FahadChangesBattlePlayerController_BP.uasset, AutoPackageBackupDelegate=5.032729, FlushAsyncLoading=0.004042, FlushStreamingFunc=0.143684, BlockTillAllRequestsFinished=0.004977, ResetLoadersForSaveUnMarkAllObjects=0.107922, TagPackageExports=10.509264, BeginCacheForCookedPlatformData=0.004355, SerializeImports=11.826694, GatherLocalizableTextData=7.004831, MarkNames=0.065934, SerializeSummary=0.015862, SerializeNames=0.309452, SerializeGatherableTextData=0.091124, BuildExportMap=0.241965, SortExportsNonSeekfree=1.878176, SortExportsSeekfreeConstructor=0.009641, SortExportsSeekfreeInner=14.906295, SortExportsSeekfree=0.005599, BuildDependencyMap=0.085838, SerializeImportMap=0.021148, SerializeExportMap=0.055984, SerializeDependencyMap=0.015240, SerializeStringAssetReferenceMap=0.002485, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.521453, SerializeExports=14.218033, SerializeBulkData=0.007775, MoveFile=3.775947, UnaccountedTime=0.210550, RunGuid=RunID20F32B604B8A6A30FDB78C9B3D190DD0
SavePackageTransactionId1103D8044B3EE8A766CB9D875B206118_2, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/Widgets/BattleMainWidget_BP.uasset, AutoPackageBackupDelegate=8.926548, FlushAsyncLoading=0.009019, FlushStreamingFunc=0.062201, BlockTillAllRequestsFinished=0.005908, ResetLoadersForSaveUnMarkAllObjects=0.128757, TagPackageExports=2.305504, BeginCacheForCookedPlatformData=0.005595, SerializeImports=3.385320, GatherLocalizableTextData=11.255999, MarkNames=0.046339, SerializeSummary=0.016171, SerializeNames=0.131246, SerializeGatherableTextData=0.167325, BuildExportMap=0.124712, SortExportsNonSeekfree=0.404622, SortExportsSeekfreeConstructor=0.067178, SortExportsSeekfreeInner=4.085086, SortExportsSeekfree=0.004977, BuildDependencyMap=0.048518, SerializeImportMap=0.011507, SerializeExportMap=0.028923, SerializeDependencyMap=0.005912, SerializeStringAssetReferenceMap=0.001866, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.600245, SerializeExports=3.946688, SerializeBulkData=0.005286, MoveFile=24.114616, UnaccountedTime=1.463916, RunGuid=RunID20F32B604B8A6A30FDB78C9B3D190DD0
SavePackageTransactionId1103D8044B3EE8A766CB9D875B206118_3, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/Widgets/BattleAttackWidget_BP.uasset, AutoPackageBackupDelegate=6.743271, FlushAsyncLoading=0.009019, FlushStreamingFunc=0.093613, BlockTillAllRequestsFinished=0.006534, ResetLoadersForSaveUnMarkAllObjects=0.120670, TagPackageExports=6.788060, BeginCacheForCookedPlatformData=0.003107, SerializeImports=8.957650, GatherLocalizableTextData=12.466747, MarkNames=0.091437, SerializeSummary=0.015862, SerializeNames=0.304166, SerializeGatherableTextData=0.086147, BuildExportMap=0.181630, SortExportsNonSeekfree=1.343865, SortExportsSeekfreeConstructor=0.060335, SortExportsSeekfreeInner=9.602367, SortExportsSeekfree=0.005286, BuildDependencyMap=0.096411, SerializeImportMap=0.017416, SerializeExportMap=0.061579, SerializeDependencyMap=0.031099, SerializeStringAssetReferenceMap=0.003111, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.346044, SerializeExports=12.059949, SerializeBulkData=0.006843, MoveFile=3.151134, UnaccountedTime=1.703389, RunGuid=RunID20F32B604B8A6A30FDB78C9B3D190DD0
SavePackageTransactionId1103D8044B3EE8A766CB9D875B206118_4, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/Widgets/BattleAttackWidget_BP.uasset, AutoPackageBackupDelegate=7.434644, FlushAsyncLoading=0.004042, FlushStreamingFunc=0.082418, BlockTillAllRequestsFinished=0.004973, ResetLoadersForSaveUnMarkAllObjects=0.104189, TagPackageExports=9.076454, BeginCacheForCookedPlatformData=0.004977, SerializeImports=10.724482, GatherLocalizableTextData=13.514538, MarkNames=0.060335, SerializeSummary=0.014305, SerializeNames=0.296392, SerializeGatherableTextData=0.089880, BuildExportMap=0.188474, SortExportsNonSeekfree=1.704942, SortExportsSeekfreeConstructor=0.092369, SortExportsSeekfreeInner=11.367962, SortExportsSeekfree=0.005595, BuildDependencyMap=0.105742, SerializeImportMap=0.016484, SerializeExportMap=0.069354, SerializeDependencyMap=0.031412, SerializeStringAssetReferenceMap=0.002801, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.447119, SerializeExports=14.384735, SerializeBulkData=0.006530, MoveFile=3.120963, UnaccountedTime=1.496881, RunGuid=RunID20F32B604B8A6A30FDB78C9B3D190DD0
SavePackageTransactionId1103D8044B3EE8A766CB9D875B206118_5, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Saved/Autosaves/Game/Blueprints/Widgets/BattleMainWidget_BP_Auto1.uasset, AutoPackageBackupDelegate=5.004116, FlushAsyncLoading=0.003111, FlushStreamingFunc=0.095792, BlockTillAllRequestsFinished=0.004973, ResetLoadersForSaveUnMarkAllObjects=0.098281, TagPackageExports=2.247654, BeginCacheForCookedPlatformData=0.002176, SerializeImports=3.608625, GatherLocalizableTextData=5.305793, MarkNames=0.037011, SerializeSummary=0.013996, SerializeNames=0.155192, SerializeGatherableTextData=0.112273, BuildExportMap=0.138711, SortExportsNonSeekfree=0.408042, SortExportsSeekfreeConstructor=0.061888, SortExportsSeekfreeInner=5.012516, SortExportsSeekfree=0.005286, BuildDependencyMap=0.051007, SerializeImportMap=0.013683, SerializeExportMap=0.031725, SerializeDependencyMap=0.011817, SerializeStringAssetReferenceMap=0.002488, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.676133, SerializeExports=4.638992, SerializeBulkData=0.006530, MoveFile=76.546494, UnaccountedTime=0.209618, RunGuid=RunID20F32B604B8A6A30FDB78C9B3D190DD0
SavePackageTransactionId1103D8044B3EE8A766CB9D875B206118_6, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Saved/Autosaves/Game/Blueprints/Widgets/BattleMainWidget_BP_Auto2.uasset, AutoPackageBackupDelegate=10.412544, FlushAsyncLoading=0.011194, FlushStreamingFunc=0.059403, BlockTillAllRequestsFinished=0.005908, ResetLoadersForSaveUnMarkAllObjects=0.116628, TagPackageExports=2.353396, BeginCacheForCookedPlatformData=0.003729, SerializeImports=3.886979, GatherLocalizableTextData=5.462229, MarkNames=0.046030, SerializeSummary=0.014618, SerializeNames=0.148349, SerializeGatherableTextData=0.131559, BuildExportMap=0.131868, SortExportsNonSeekfree=0.426702, SortExportsSeekfreeConstructor=0.065934, SortExportsSeekfreeInner=5.010337, SortExportsSeekfree=0.005286, BuildDependencyMap=0.053182, SerializeImportMap=0.016794, SerializeExportMap=0.035144, SerializeDependencyMap=0.010572, SerializeStringAssetReferenceMap=0.002488, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.672400, SerializeExports=5.470317, SerializeBulkData=0.007465, MoveFile=3.253139, UnaccountedTime=0.277732, RunGuid=RunID20F32B604B8A6A30FDB78C9B3D190DD0
SavePackageTransactionId1103D8044B3EE8A766CB9D875B206118_7, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Saved/Autosaves/Game/Blueprints/Widgets/BattleAttackWidget_BP_Auto2.uasset, AutoPackageBackupDelegate=8.203764, FlushAsyncLoading=0.012442, FlushStreamingFunc=0.049450, BlockTillAllRequestsFinished=0.005908, ResetLoadersForSaveUnMarkAllObjects=0.125024, TagPackageExports=17.480194, BeginCacheForCookedPlatformData=0.008397, SerializeImports=16.719780, GatherLocalizableTextData=19.798759, MarkNames=0.101078, SerializeSummary=0.018038, SerializeNames=0.385962, SerializeGatherableTextData=0.134043, BuildExportMap=0.222992, SortExportsNonSeekfree=1.980811, SortExportsSeekfreeConstructor=0.032034, SortExportsSeekfreeInner=18.520824, SortExportsSeekfree=0.023950, BuildDependencyMap=0.199977, SerializeImportMap=0.040121, SerializeExportMap=0.084594, SerializeDependencyMap=0.018973, SerializeStringAssetReferenceMap=0.005286, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.994804, SerializeExports=20.018953, SerializeBulkData=0.017725, MoveFile=26.325260, UnaccountedTime=0.347707, RunGuid=RunID20F32B604B8A6A30FDB78C9B3D190DD0
SavePackageTransactionId1103D8044B3EE8A766CB9D875B206118_8, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/Widgets/BattleAttackWidget_BP.uasset, AutoPackageBackupDelegate=57.198700, FlushAsyncLoading=0.010572, FlushStreamingFunc=0.061892, BlockTillAllRequestsFinished=0.006530, ResetLoadersForSaveUnMarkAllObjects=0.139330, TagPackageExports=11.246666, BeginCacheForCookedPlatformData=0.005286, SerializeImports=12.578089, GatherLocalizableTextData=14.859024, MarkNames=0.118803, SerializeSummary=0.027992, SerializeNames=0.419237, SerializeGatherableTextData=0.148039, BuildExportMap=0.301678, SortExportsNonSeekfree=2.014711, SortExportsSeekfreeConstructor=0.078373, SortExportsSeekfreeInner=12.888164, SortExportsSeekfree=0.006221, BuildDependencyMap=0.148661, SerializeImportMap=0.025816, SerializeExportMap=0.081170, SerializeDependencyMap=0.013687, SerializeStringAssetReferenceMap=0.002176, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.969613, SerializeExports=17.236675, SerializeBulkData=0.013061, MoveFile=5.084980, UnaccountedTime=1.580231, RunGuid=RunID20F32B604B8A6A30FDB78C9B3D190DD0
SavePackageTransactionId1103D8044B3EE8A766CB9D875B206118_9, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Saved/Autosaves/Game/Blueprints/Widgets/BattleMainWidget_BP_Auto3.uasset, AutoPackageBackupDelegate=10.273211, FlushAsyncLoading=0.011820, FlushStreamingFunc=0.064999, BlockTillAllRequestsFinished=0.007465, ResetLoadersForSaveUnMarkAllObjects=0.137776, TagPackageExports=2.566438, BeginCacheForCookedPlatformData=0.005599, SerializeImports=3.650918, GatherLocalizableTextData=6.852437, MarkNames=0.047896, SerializeSummary=0.016171, SerializeNames=0.152394, SerializeGatherableTextData=13.273503, BuildExportMap=0.168256, SortExportsNonSeekfree=0.406485, SortExportsSeekfreeConstructor=0.069980, SortExportsSeekfreeInner=4.902102, SortExportsSeekfree=0.005912, BuildDependencyMap=0.055358, SerializeImportMap=0.014305, SerializeExportMap=0.033591, SerializeDependencyMap=0.018660, SerializeStringAssetReferenceMap=0.004042, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.692617, SerializeExports=4.718922, SerializeBulkData=0.007153, MoveFile=6.867051, UnaccountedTime=0.234812, RunGuid=RunID20F32B604B8A6A30FDB78C9B3D190DD0
