CookerStat, GenerateAssetRegistry=0.023950, Initialize=0.138089, RunGuid=RunID7FF3AF614FCD6FF11C11FFBBB042E195
SavePackageTransactionId660BD886460A2D7A34AF46974AEB33C7_11, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattleMainWidget_BP.uasset, AutoPackageBackupDelegate=1.873512, FlushAsyncLoading=0.003420, FlushStreamingFunc=0.093926, BlockTillAllRequestsFinished=0.005286, ResetLoadersForSaveUnMarkAllObjects=0.101391, TagPackageExports=0.820126, BeginCacheForCookedPlatformData=0.002179, SerializeImports=1.777407, GatherLocalizableTextData=7.738188, MarkNames=0.036698, SerializeSummary=0.014309, SerializeNames=0.097968, SerializeGatherableTextData=0.106674, BuildExportMap=0.074644, SortExportsNonSeekfree=0.245694, SortExportsSeekfreeConstructor=0.062514, SortExportsSeekfreeInner=2.818353, SortExportsSeekfree=0.004042, BuildDependencyMap=0.036698, SerializeImportMap=0.009019, SerializeExportMap=0.021771, SerializeDependencyMap=0.011194, SerializeStringAssetReferenceMap=0.002179, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.393424, SerializeExports=2.260093, SerializeBulkData=0.004355, MoveFile=3.327783, UnaccountedTime=0.166081, RunGuid=RunID7FF3AF614FCD6FF11C11FFBBB042E195
SavePackageTransactionId660BD886460A2D7A34AF46974AEB33C7_12, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattleMainWidget_BP.uasset, AutoPackageBackupDelegate=1.867604, FlushAsyncLoading=0.004355, FlushStreamingFunc=0.108540, BlockTillAllRequestsFinished=0.005599, ResetLoadersForSaveUnMarkAllObjects=0.135910, TagPackageExports=1.068313, BeginCacheForCookedPlatformData=0.001866, SerializeImports=2.122007, GatherLocalizableTextData=7.679716, MarkNames=0.030480, SerializeSummary=0.012752, SerializeNames=0.109784, SerializeGatherableTextData=0.100765, BuildExportMap=0.090815, SortExportsNonSeekfree=0.249427, SortExportsSeekfreeConstructor=0.059403, SortExportsSeekfreeInner=3.060318, SortExportsSeekfree=0.004355, BuildDependencyMap=0.041362, SerializeImportMap=0.009641, SerializeExportMap=0.024572, SerializeDependencyMap=0.005595, SerializeStringAssetReferenceMap=0.001557, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.449717, SerializeExports=2.505790, SerializeBulkData=0.004664, MoveFile=503.544403, UnaccountedTime=2.420887, RunGuid=RunID7FF3AF614FCD6FF11C11FFBBB042E195
SavePackageTransactionId660BD886460A2D7A34AF46974AEB33C7_13, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattleAttackWidget.uasset, AutoPackageBackupDelegate=0.113826, FlushAsyncLoading=0.003733, FlushStreamingFunc=0.058781, BlockTillAllRequestsFinished=0.005286, ResetLoadersForSaveUnMarkAllObjects=0.096723, TagPackageExports=1.156949, BeginCacheForCookedPlatformData=0.002179, SerializeImports=2.152484, GatherLocalizableTextData=7.453304, MarkNames=0.033587, SerializeSummary=0.012442, SerializeNames=0.103563, SerializeGatherableTextData=0.103254, BuildExportMap=0.092372, SortExportsNonSeekfree=0.319716, SortExportsSeekfreeConstructor=0.059403, SortExportsSeekfreeInner=3.255628, SortExportsSeekfree=0.004355, BuildDependencyMap=0.044473, SerializeImportMap=0.009332, SerializeExportMap=0.027057, SerializeDependencyMap=0.009641, SerializeStringAssetReferenceMap=0.002488, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.506010, SerializeExports=2.753042, SerializeBulkData=0.004973, MoveFile=2.594739, UnaccountedTime=1.725782, RunGuid=RunID7FF3AF614FCD6FF11C11FFBBB042E195
SavePackageTransactionId660BD886460A2D7A34AF46974AEB33C7_14, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattleAttackWidget.uasset, AutoPackageBackupDelegate=4.085709, FlushAsyncLoading=0.007775, FlushStreamingFunc=0.047896, BlockTillAllRequestsFinished=0.004046, ResetLoadersForSaveUnMarkAllObjects=0.110716, TagPackageExports=1.223814, BeginCacheForCookedPlatformData=0.003111, SerializeImports=2.158705, GatherLocalizableTextData=7.535722, MarkNames=0.041984, SerializeSummary=0.014309, SerializeNames=0.103254, SerializeGatherableTextData=0.108540, BuildExportMap=0.095792, SortExportsNonSeekfree=0.327490, SortExportsSeekfreeConstructor=0.064068, SortExportsSeekfreeInner=3.346134, SortExportsSeekfree=0.004355, BuildDependencyMap=0.045095, SerializeImportMap=0.010263, SerializeExportMap=0.027057, SerializeDependencyMap=0.010263, SerializeStringAssetReferenceMap=0.001866, SaveThumbNailsAssetRegistryDataWorldLevelInfo=18.238432, SerializeExports=2.856296, SerializeBulkData=0.004355, MoveFile=3.388744, UnaccountedTime=1.420058, RunGuid=RunID7FF3AF614FCD6FF11C11FFBBB042E195
SavePackageTransactionId660BD886460A2D7A34AF46974AEB33C7_15, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattleAttackWidget.uasset, AutoPackageBackupDelegate=1.954373, FlushAsyncLoading=0.003733, FlushStreamingFunc=0.097033, BlockTillAllRequestsFinished=0.005908, ResetLoadersForSaveUnMarkAllObjects=0.102945, TagPackageExports=1.086351, BeginCacheForCookedPlatformData=0.002179, SerializeImports=2.144396, GatherLocalizableTextData=7.442419, MarkNames=0.034213, SerializeSummary=0.012752, SerializeNames=0.103254, SerializeGatherableTextData=0.103876, BuildExportMap=0.092681, SortExportsNonSeekfree=0.325933, SortExportsSeekfreeConstructor=0.010885, SortExportsSeekfreeInner=3.226396, SortExportsSeekfree=0.003733, BuildDependencyMap=0.043854, SerializeImportMap=0.009641, SerializeExportMap=0.026744, SerializeDependencyMap=0.009019, SerializeStringAssetReferenceMap=0.002179, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.532445, SerializeExports=2.755217, SerializeBulkData=0.004668, MoveFile=3.087375, UnaccountedTime=1.467027, RunGuid=RunID7FF3AF614FCD6FF11C11FFBBB042E195
SavePackageTransactionId660BD886460A2D7A34AF46974AEB33C7_16, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattleAttackWidget.uasset, AutoPackageBackupDelegate=1.871333, FlushAsyncLoading=0.003733, FlushStreamingFunc=0.107922, BlockTillAllRequestsFinished=0.005286, ResetLoadersForSaveUnMarkAllObjects=0.099521, TagPackageExports=1.097858, BeginCacheForCookedPlatformData=0.002176, SerializeImports=2.134446, GatherLocalizableTextData=7.486582, MarkNames=0.038877, SerializeSummary=0.013683, SerializeNames=0.105120, SerializeGatherableTextData=0.107609, BuildExportMap=0.093926, SortExportsNonSeekfree=0.326559, SortExportsSeekfreeConstructor=0.064377, SortExportsSeekfreeInner=3.233548, SortExportsSeekfree=0.005286, BuildDependencyMap=0.046343, SerializeImportMap=0.009328, SerializeExportMap=0.026748, SerializeDependencyMap=0.009332, SerializeStringAssetReferenceMap=0.002176, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.491396, SerializeExports=2.822083, SerializeBulkData=0.004668, MoveFile=3.148954, UnaccountedTime=1.485683, RunGuid=RunID7FF3AF614FCD6FF11C11FFBBB042E195
SavePackageTransactionId660BD886460A2D7A34AF46974AEB33C7_17, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattleAttackWidget.uasset, AutoPackageBackupDelegate=1.953129, FlushAsyncLoading=0.004046, FlushStreamingFunc=0.089880, BlockTillAllRequestsFinished=0.005286, ResetLoadersForSaveUnMarkAllObjects=0.101078, TagPackageExports=1.083549, BeginCacheForCookedPlatformData=0.002179, SerializeImports=2.190117, GatherLocalizableTextData=7.967088, MarkNames=0.044473, SerializeSummary=0.014309, SerializeNames=0.124089, SerializeGatherableTextData=0.092991, BuildExportMap=0.094548, SortExportsNonSeekfree=0.328425, SortExportsSeekfreeConstructor=0.062510, SortExportsSeekfreeInner=3.431663, SortExportsSeekfree=0.004042, BuildDependencyMap=0.045717, SerializeImportMap=0.009641, SerializeExportMap=0.031721, SerializeDependencyMap=0.009328, SerializeStringAssetReferenceMap=0.002179, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.531510, SerializeExports=2.886776, SerializeBulkData=0.004355, MoveFile=5.127899, UnaccountedTime=1.491904, RunGuid=RunID7FF3AF614FCD6FF11C11FFBBB042E195
SavePackageTransactionId660BD886460A2D7A34AF46974AEB33C7_18, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattleAttackWidget_BP.uasset, AutoPackageBackupDelegate=0.116006, FlushAsyncLoading=0.003733, FlushStreamingFunc=0.082728, BlockTillAllRequestsFinished=0.004355, ResetLoadersForSaveUnMarkAllObjects=0.092369, TagPackageExports=1.070488, BeginCacheForCookedPlatformData=0.002176, SerializeImports=2.158087, GatherLocalizableTextData=5.122296, MarkNames=0.035767, SerializeSummary=0.013374, SerializeNames=0.107918, SerializeGatherableTextData=0.134047, BuildExportMap=0.090193, SortExportsNonSeekfree=0.366054, SortExportsSeekfreeConstructor=0.059713, SortExportsSeekfreeInner=3.234792, SortExportsSeekfree=0.003111, BuildDependencyMap=0.041675, SerializeImportMap=0.009328, SerializeExportMap=0.026435, SerializeDependencyMap=0.006221, SerializeStringAssetReferenceMap=0.001866, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.544265, SerializeExports=2.901390, SerializeBulkData=0.004668, MoveFile=14.168274, UnaccountedTime=1.456451, RunGuid=RunID7FF3AF614FCD6FF11C11FFBBB042E195
SavePackageTransactionId660BD886460A2D7A34AF46974AEB33C7_19, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/Widgets/BattleMainWidget_BP.uasset, AutoPackageBackupDelegate=0.108540, FlushAsyncLoading=0.004046, FlushStreamingFunc=0.096101, BlockTillAllRequestsFinished=0.005599, ResetLoadersForSaveUnMarkAllObjects=0.132177, TagPackageExports=1.048095, BeginCacheForCookedPlatformData=0.002176, SerializeImports=2.061050, GatherLocalizableTextData=6.275207, MarkNames=0.032656, SerializeSummary=0.013992, SerializeNames=0.116009, SerializeGatherableTextData=0.114448, BuildExportMap=0.087082, SortExportsNonSeekfree=0.267778, SortExportsSeekfreeConstructor=0.061270, SortExportsSeekfreeInner=3.143977, SortExportsSeekfree=0.003420, BuildDependencyMap=0.037324, SerializeImportMap=0.009328, SerializeExportMap=0.024259, SerializeDependencyMap=0.005908, SerializeStringAssetReferenceMap=0.001866, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.470243, SerializeExports=2.567060, SerializeBulkData=0.004355, MoveFile=3.082089, UnaccountedTime=1.484752, RunGuid=RunID7FF3AF614FCD6FF11C11FFBBB042E195
SavePackageTransactionId660BD886460A2D7A34AF46974AEB33C7_20, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/Widgets/BattleAttackWidget_BP.uasset, AutoPackageBackupDelegate=0.114139, FlushAsyncLoading=0.003733, FlushStreamingFunc=0.101078, BlockTillAllRequestsFinished=0.005286, ResetLoadersForSaveUnMarkAllObjects=0.130001, TagPackageExports=1.096923, BeginCacheForCookedPlatformData=0.001866, SerializeImports=2.184831, GatherLocalizableTextData=4.953113, MarkNames=0.034209, SerializeSummary=0.013996, SerializeNames=0.107300, SerializeGatherableTextData=0.114448, BuildExportMap=0.089571, SortExportsNonSeekfree=0.360768, SortExportsSeekfreeConstructor=0.061270, SortExportsSeekfreeInner=3.157351, SortExportsSeekfree=0.003420, BuildDependencyMap=0.041675, SerializeImportMap=0.009328, SerializeExportMap=0.026435, SerializeDependencyMap=0.006221, SerializeStringAssetReferenceMap=0.001553, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.531822, SerializeExports=2.773881, SerializeBulkData=0.004355, MoveFile=3.115989, UnaccountedTime=1.476664, RunGuid=RunID7FF3AF614FCD6FF11C11FFBBB042E195
