CookerStat, GenerateAssetRegistry=0.024259, Initialize=0.139952, RunGuid=RunIDD74B619949FB78D38CC3A58100F603BC
SavePackageTransactionId5B79E9B0445D7642E8836182C96CFA77_11, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/MeleeDrawer.uasset, AutoPackageBackupDelegate=45.701389, FlushAsyncLoading=0.005599, FlushStreamingFunc=0.078995, BlockTillAllRequestsFinished=0.005908, ResetLoadersForSaveUnMarkAllObjects=0.121918, TagPackageExports=20.872683, BeginCacheForCookedPlatformData=0.006221, SerializeImports=23.055338, GatherLocalizableTextData=14.056317, MarkNames=0.100769, SerializeSummary=0.015236, SerializeNames=0.382543, SerializeGatherableTextData=0.147417, BuildExportMap=0.249740, SortExportsNonSeekfree=3.347069, SortExportsSeekfreeConstructor=0.063755, SortExportsSeekfreeInner=24.276976, SortExportsSeekfree=0.008088, BuildDependencyMap=0.174165, SerializeImportMap=0.020213, SerializeExportMap=0.111964, SerializeDependencyMap=0.023637, SerializeStringAssetReferenceMap=0.002798, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.376102, SerializeExports=31.046066, SerializeBulkData=0.010885, MoveFile=3.557622, UnaccountedTime=1.702767, RunGuid=RunIDD74B619949FB78D38CC3A58100F603BC
SavePackageTransactionId5B79E9B0445D7642E8836182C96CFA77_12, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/MeleeDrawer.uasset, AutoPackageBackupDelegate=45.408104, FlushAsyncLoading=0.005599, FlushStreamingFunc=0.094235, BlockTillAllRequestsFinished=0.004355, ResetLoadersForSaveUnMarkAllObjects=0.106674, TagPackageExports=18.716461, BeginCacheForCookedPlatformData=0.005912, SerializeImports=20.696030, GatherLocalizableTextData=13.735048, MarkNames=0.096411, SerializeSummary=0.015240, SerializeNames=0.365436, SerializeGatherableTextData=0.146482, BuildExportMap=0.237301, SortExportsNonSeekfree=2.931870, SortExportsSeekfreeConstructor=0.067800, SortExportsSeekfreeInner=22.778542, SortExportsSeekfree=0.007153, BuildDependencyMap=0.153948, SerializeImportMap=0.019591, SerializeExportMap=0.106987, SerializeDependencyMap=0.021461, SerializeStringAssetReferenceMap=0.002488, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.222151, SerializeExports=27.374928, SerializeBulkData=0.010576, MoveFile=3.535230, UnaccountedTime=1.530159, RunGuid=RunIDD74B619949FB78D38CC3A58100F603BC
SavePackageTransactionId5B79E9B0445D7642E8836182C96CFA77_13, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/MeleeDrawer.uasset, AutoPackageBackupDelegate=45.583202, FlushAsyncLoading=0.005599, FlushStreamingFunc=0.127200, BlockTillAllRequestsFinished=0.006221, ResetLoadersForSaveUnMarkAllObjects=0.125024, TagPackageExports=18.723618, BeginCacheForCookedPlatformData=0.005286, SerializeImports=19.763939, GatherLocalizableTextData=13.873756, MarkNames=0.094548, SerializeSummary=0.015862, SerializeNames=0.368856, SerializeGatherableTextData=0.151459, BuildExportMap=0.223614, SortExportsNonSeekfree=2.805915, SortExportsSeekfreeConstructor=0.064380, SortExportsSeekfreeInner=21.751591, SortExportsSeekfree=0.009019, BuildDependencyMap=0.164833, SerializeImportMap=0.019904, SerializeExportMap=0.102632, SerializeDependencyMap=0.022084, SerializeStringAssetReferenceMap=0.002176, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.357751, SerializeExports=27.885292, SerializeBulkData=0.010576, MoveFile=3.996763, UnaccountedTime=1.598582, RunGuid=RunIDD74B619949FB78D38CC3A58100F603BC
SavePackageTransactionId5B79E9B0445D7642E8836182C96CFA77_14, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/MeleeDrawer.uasset, AutoPackageBackupDelegate=45.908207, FlushAsyncLoading=0.006221, FlushStreamingFunc=0.084285, BlockTillAllRequestsFinished=0.004664, ResetLoadersForSaveUnMarkAllObjects=0.107918, TagPackageExports=17.476164, BeginCacheForCookedPlatformData=0.005286, SerializeImports=19.865017, GatherLocalizableTextData=13.903923, MarkNames=0.100765, SerializeSummary=0.015553, SerializeNames=0.359833, SerializeGatherableTextData=0.131559, BuildExportMap=0.222370, SortExportsNonSeekfree=2.819288, SortExportsSeekfreeConstructor=0.063445, SortExportsSeekfreeInner=22.852249, SortExportsSeekfree=0.008084, BuildDependencyMap=0.161104, SerializeImportMap=0.018660, SerializeExportMap=0.102010, SerializeDependencyMap=0.022393, SerializeStringAssetReferenceMap=0.002179, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.203178, SerializeExports=27.282871, SerializeBulkData=0.010263, MoveFile=3.476761, UnaccountedTime=1.494393, RunGuid=RunIDD74B619949FB78D38CC3A58100F603BC
SavePackageTransactionId5B79E9B0445D7642E8836182C96CFA77_15, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/MeleeDrawer.uasset, AutoPackageBackupDelegate=46.145508, FlushAsyncLoading=0.005599, FlushStreamingFunc=0.094235, BlockTillAllRequestsFinished=0.005286, ResetLoadersForSaveUnMarkAllObjects=0.109788, TagPackageExports=19.229628, BeginCacheForCookedPlatformData=0.005286, SerializeImports=20.289230, GatherLocalizableTextData=13.872203, MarkNames=0.092059, SerializeSummary=0.015549, SerializeNames=0.355169, SerializeGatherableTextData=0.144619, BuildExportMap=0.258449, SortExportsNonSeekfree=2.965461, SortExportsSeekfreeConstructor=0.064068, SortExportsSeekfreeInner=21.783001, SortExportsSeekfree=0.007153, BuildDependencyMap=0.154573, SerializeImportMap=0.019904, SerializeExportMap=0.105120, SerializeDependencyMap=0.024881, SerializeStringAssetReferenceMap=0.002488, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.152484, SerializeExports=27.573973, SerializeBulkData=0.011198, MoveFile=3.375679, UnaccountedTime=1.612578, RunGuid=RunIDD74B619949FB78D38CC3A58100F603BC
SavePackageTransactionId5B79E9B0445D7642E8836182C96CFA77_16, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/MeleeDrawer.uasset, AutoPackageBackupDelegate=45.954857, FlushAsyncLoading=0.005599, FlushStreamingFunc=0.096723, BlockTillAllRequestsFinished=0.005908, ResetLoadersForSaveUnMarkAllObjects=0.121918, TagPackageExports=18.595484, BeginCacheForCookedPlatformData=0.005599, SerializeImports=20.092983, GatherLocalizableTextData=13.907969, MarkNames=0.093304, SerializeSummary=0.015240, SerializeNames=0.355482, SerializeGatherableTextData=0.148661, BuildExportMap=0.241652, SortExportsNonSeekfree=2.964839, SortExportsSeekfreeConstructor=0.063136, SortExportsSeekfreeInner=22.212814, SortExportsSeekfree=0.007465, BuildDependencyMap=0.156749, SerializeImportMap=0.018969, SerializeExportMap=0.105742, SerializeDependencyMap=0.024259, SerializeStringAssetReferenceMap=0.002179, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.372056, SerializeExports=28.238907, SerializeBulkData=0.010576, MoveFile=3.640041, UnaccountedTime=0.223301, RunGuid=RunIDD74B619949FB78D38CC3A58100F603BC
SavePackageTransactionId5B79E9B0445D7642E8836182C96CFA77_17, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/MeleeDrawer.uasset, AutoPackageBackupDelegate=48.208736, FlushAsyncLoading=0.010572, FlushStreamingFunc=0.118185, BlockTillAllRequestsFinished=0.006218, ResetLoadersForSaveUnMarkAllObjects=0.124715, TagPackageExports=17.944540, BeginCacheForCookedPlatformData=0.005908, SerializeImports=20.771605, GatherLocalizableTextData=13.940315, MarkNames=0.089880, SerializeSummary=0.018660, SerializeNames=0.320338, SerializeGatherableTextData=0.152085, BuildExportMap=0.200290, SortExportsNonSeekfree=2.603136, SortExportsSeekfreeConstructor=0.065621, SortExportsSeekfreeInner=22.024036, SortExportsSeekfree=0.007465, BuildDependencyMap=0.144307, SerializeImportMap=0.017729, SerializeExportMap=0.097658, SerializeDependencyMap=0.020217, SerializeStringAssetReferenceMap=0.002798, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.130404, SerializeExports=28.736212, SerializeBulkData=0.011194, MoveFile=3.375057, UnaccountedTime=1.510568, RunGuid=RunIDD74B619949FB78D38CC3A58100F603BC
SavePackageTransactionId5B79E9B0445D7642E8836182C96CFA77_18, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/MeleeDrawer.uasset, AutoPackageBackupDelegate=46.362278, FlushAsyncLoading=0.005599, FlushStreamingFunc=0.097346, BlockTillAllRequestsFinished=0.006221, ResetLoadersForSaveUnMarkAllObjects=0.121605, TagPackageExports=18.911467, BeginCacheForCookedPlatformData=0.005908, SerializeImports=20.513781, GatherLocalizableTextData=13.970793, MarkNames=0.084285, SerializeSummary=0.015236, SerializeNames=0.329047, SerializeGatherableTextData=0.151463, BuildExportMap=0.197798, SortExportsNonSeekfree=2.592564, SortExportsSeekfreeConstructor=0.062823, SortExportsSeekfreeInner=21.555967, SortExportsSeekfree=0.007465, BuildDependencyMap=0.140887, SerializeImportMap=0.018038, SerializeExportMap=0.097346, SerializeDependencyMap=0.020213, SerializeStringAssetReferenceMap=0.001866, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.228372, SerializeExports=27.628090, SerializeBulkData=0.010885, MoveFile=3.505059, UnaccountedTime=1.523320, RunGuid=RunIDD74B619949FB78D38CC3A58100F603BC
SavePackageTransactionId5B79E9B0445D7642E8836182C96CFA77_19, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/MeleeDrawer.uasset, AutoPackageBackupDelegate=45.779140, FlushAsyncLoading=0.005286, FlushStreamingFunc=0.101700, BlockTillAllRequestsFinished=0.005599, ResetLoadersForSaveUnMarkAllObjects=0.120670, TagPackageExports=20.338680, BeginCacheForCookedPlatformData=0.005908, SerializeImports=22.777609, GatherLocalizableTextData=15.262406, MarkNames=0.099212, SerializeSummary=0.015549, SerializeNames=0.392184, SerializeGatherableTextData=0.147726, BuildExportMap=0.254717, SortExportsNonSeekfree=3.329962, SortExportsSeekfreeConstructor=0.064380, SortExportsSeekfreeInner=23.760389, SortExportsSeekfree=0.008088, BuildDependencyMap=0.161722, SerializeImportMap=0.019904, SerializeExportMap=0.111338, SerializeDependencyMap=0.022393, SerializeStringAssetReferenceMap=0.002179, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.423994, SerializeExports=30.666328, SerializeBulkData=0.010885, MoveFile=3.794611, UnaccountedTime=1.615066, RunGuid=RunIDD74B619949FB78D38CC3A58100F603BC
SavePackageTransactionId5B79E9B0445D7642E8836182C96CFA77_20, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/MeleeDrawer.uasset, AutoPackageBackupDelegate=45.605286, FlushAsyncLoading=0.005286, FlushStreamingFunc=0.152703, BlockTillAllRequestsFinished=0.005599, ResetLoadersForSaveUnMarkAllObjects=0.125960, TagPackageExports=20.577539, BeginCacheForCookedPlatformData=0.006218, SerializeImports=22.909473, GatherLocalizableTextData=15.230063, MarkNames=0.100456, SerializeSummary=0.015862, SerializeNames=0.371344, SerializeGatherableTextData=0.180382, BuildExportMap=0.253163, SortExportsNonSeekfree=3.341779, SortExportsSeekfreeConstructor=0.064690, SortExportsSeekfreeInner=23.990850, SortExportsSeekfree=0.007775, BuildDependencyMap=0.161100, SerializeImportMap=0.020217, SerializeExportMap=0.111029, SerializeDependencyMap=0.022702, SerializeStringAssetReferenceMap=0.002488, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.365217, SerializeExports=30.241177, SerializeBulkData=0.010885, MoveFile=3.576283, UnaccountedTime=1.509633, RunGuid=RunIDD74B619949FB78D38CC3A58100F603BC
SavePackageTransactionId5B79E9B0445D7642E8836182C96CFA77_21, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/MeleeDrawer.uasset, AutoPackageBackupDelegate=45.808994, FlushAsyncLoading=0.005912, FlushStreamingFunc=0.078060, BlockTillAllRequestsFinished=0.004977, ResetLoadersForSaveUnMarkAllObjects=0.108231, TagPackageExports=20.335882, BeginCacheForCookedPlatformData=0.005908, SerializeImports=23.119715, GatherLocalizableTextData=15.722390, MarkNames=0.098590, SerializeSummary=0.016484, SerializeNames=0.395913, SerializeGatherableTextData=0.166699, BuildExportMap=0.242587, SortExportsNonSeekfree=3.144290, SortExportsSeekfreeConstructor=0.064690, SortExportsSeekfreeInner=24.212286, SortExportsSeekfree=0.008710, BuildDependencyMap=0.157367, SerializeImportMap=0.018973, SerializeExportMap=0.110406, SerializeDependencyMap=0.021771, SerializeStringAssetReferenceMap=0.002488, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.369881, SerializeExports=29.683851, SerializeBulkData=0.010263, MoveFile=3.914971, UnaccountedTime=1.723606, RunGuid=RunIDD74B619949FB78D38CC3A58100F603BC
