CookerStat, GenerateAssetRegistry=60.193043, Initialize=152.763535, RunGuid=RunIDF492EB834AD716D0381E8C88A0BFD226
SavePackageTransactionId2D05198147D6C9EDD81FF08CDADE52F2_0, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Saved/Autosaves/Game/Levels/UEDPCOverworldLevel.umap, AutoPackageBackupDelegate=189.267120, FlushAsyncLoading=0.014927, FlushStreamingFunc=0.087082, BlockTillAllRequestsFinished=0.007465, ResetLoadersForSaveUnMarkAllObjects=579.239319, TagPackageExports=53.971958, BeginCacheForCookedPlatformData=0.006843, SerializeImports=57.817875, GatherLocalizableTextData=35.378365, MarkNames=0.896949, SerializeSummary=0.026435, SerializeNames=0.567276, SerializeGatherableTextData=0.242274, BuildExportMap=0.470869, SortExportsNonSeekfree=26.455551, SortExportsSeekfreeConstructor=0.108853, SortExportsSeekfreeInner=76.375397, SortExportsSeekfree=0.009641, BuildDependencyMap=0.591535, SerializeImportMap=0.067797, SerializeExportMap=0.190027, SerializeDependencyMap=0.039808, SerializeStringAssetReferenceMap=0.002801, SaveThumbNailsAssetRegistryDataWorldLevelInfo=5.675889, SerializeExports=71.990494, SerializeBulkData=24.400730, MoveFile=3.865514, UnaccountedTime=0.336822, RunGuid=RunIDF492EB834AD716D0381E8C88A0BFD226
SavePackageTransactionId2D05198147D6C9EDD81FF08CDADE52F2_1, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Saved/Autosaves/Game/Levels/UEDPCOverworldLevel.umap, AutoPackageBackupDelegate=125.727646, FlushAsyncLoading=0.012752, FlushStreamingFunc=0.062510, BlockTillAllRequestsFinished=0.006843, ResetLoadersForSaveUnMarkAllObjects=143.523804, TagPackageExports=49.959026, BeginCacheForCookedPlatformData=0.006840, SerializeImports=53.829517, GatherLocalizableTextData=110.097328, MarkNames=0.867710, SerializeSummary=0.023637, SerializeNames=0.625126, SerializeGatherableTextData=0.233255, BuildExportMap=0.579406, SortExportsNonSeekfree=26.621323, SortExportsSeekfreeConstructor=0.082418, SortExportsSeekfreeInner=75.245811, SortExportsSeekfree=0.008706, BuildDependencyMap=0.568524, SerializeImportMap=0.067178, SerializeExportMap=0.206508, SerializeDependencyMap=0.044163, SerializeStringAssetReferenceMap=0.002801, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.045677, SerializeExports=67.652870, SerializeBulkData=2.672799, MoveFile=3.713120, UnaccountedTime=0.321273, RunGuid=RunIDF492EB834AD716D0381E8C88A0BFD226
SavePackageTransactionId2D05198147D6C9EDD81FF08CDADE52F2_2, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Saved/Autosaves/Game/Levels/UEDPCOverworldLevel.umap, AutoPackageBackupDelegate=27.148481, FlushAsyncLoading=0.009950, FlushStreamingFunc=0.067491, BlockTillAllRequestsFinished=0.007153, ResetLoadersForSaveUnMarkAllObjects=185.618698, TagPackageExports=51.894112, BeginCacheForCookedPlatformData=0.007153, SerializeImports=57.154186, GatherLocalizableTextData=34.705036, MarkNames=0.197798, SerializeSummary=0.018660, SerializeNames=0.605222, SerializeGatherableTextData=0.225171, BuildExportMap=0.581894, SortExportsNonSeekfree=26.532373, SortExportsSeekfreeConstructor=0.891037, SortExportsSeekfreeInner=74.774948, SortExportsSeekfree=0.008706, BuildDependencyMap=0.543643, SerializeImportMap=0.060648, SerializeExportMap=0.201531, SerializeDependencyMap=0.043850, SerializeStringAssetReferenceMap=0.002801, SaveThumbNailsAssetRegistryDataWorldLevelInfo=13.876225, SerializeExports=65.796783, SerializeBulkData=3.093902, MoveFile=3.559485, UnaccountedTime=0.298254, RunGuid=RunIDF492EB834AD716D0381E8C88A0BFD226
SavePackageTransactionId2D05198147D6C9EDD81FF08CDADE52F2_3, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Levels/OverworldLevel.umap, AutoPackageBackupDelegate=25.481791, FlushAsyncLoading=0.005286, FlushStreamingFunc=0.080552, BlockTillAllRequestsFinished=0.006218, ResetLoadersForSaveUnMarkAllObjects=154.794418, TagPackageExports=49.359089, BeginCacheForCookedPlatformData=0.006843, SerializeImports=54.564735, GatherLocalizableTextData=33.832344, MarkNames=0.197180, SerializeSummary=0.018660, SerializeNames=0.575051, SerializeGatherableTextData=0.232633, BuildExportMap=0.569455, SortExportsNonSeekfree=8.497663, SortExportsSeekfreeConstructor=0.067178, SortExportsSeekfreeInner=73.718452, SortExportsSeekfree=0.008706, BuildDependencyMap=1.705255, SerializeImportMap=0.054426, SerializeExportMap=0.202466, SerializeDependencyMap=0.045717, SerializeStringAssetReferenceMap=0.003111, SaveThumbNailsAssetRegistryDataWorldLevelInfo=5.961083, SerializeExports=65.658691, SerializeBulkData=2.593491, MoveFile=39.369526, UnaccountedTime=0.305407, RunGuid=RunIDF492EB834AD716D0381E8C88A0BFD226
SavePackageTransactionId2D05198147D6C9EDD81FF08CDADE52F2_4, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Saved/Autosaves/Game/Levels/UEDPCOverworldLevel.umap, AutoPackageBackupDelegate=73.547401, FlushAsyncLoading=0.012130, FlushStreamingFunc=0.055671, BlockTillAllRequestsFinished=0.006221, ResetLoadersForSaveUnMarkAllObjects=156.025391, TagPackageExports=51.643757, BeginCacheForCookedPlatformData=0.007153, SerializeImports=54.078941, GatherLocalizableTextData=34.061558, MarkNames=0.208065, SerializeSummary=0.019595, SerializeNames=0.631657, SerializeGatherableTextData=0.240095, BuildExportMap=0.574123, SortExportsNonSeekfree=26.828762, SortExportsSeekfreeConstructor=0.795867, SortExportsSeekfreeInner=73.577568, SortExportsSeekfree=0.008710, BuildDependencyMap=0.542086, SerializeImportMap=0.061892, SerializeExportMap=0.200599, SerializeDependencyMap=0.045408, SerializeStringAssetReferenceMap=0.002488, SaveThumbNailsAssetRegistryDataWorldLevelInfo=32.210125, SerializeExports=66.588295, SerializeBulkData=3.049429, MoveFile=3.704410, UnaccountedTime=0.305723, RunGuid=RunIDF492EB834AD716D0381E8C88A0BFD226
SavePackageTransactionId2D05198147D6C9EDD81FF08CDADE52F2_5, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/SoulTerminator_BP.uasset, AutoPackageBackupDelegate=27.147547, FlushAsyncLoading=0.008401, FlushStreamingFunc=0.055045, BlockTillAllRequestsFinished=0.006534, ResetLoadersForSaveUnMarkAllObjects=0.126891, TagPackageExports=0.977807, BeginCacheForCookedPlatformData=0.002176, SerializeImports=1.852986, GatherLocalizableTextData=0.923071, MarkNames=0.017725, SerializeSummary=0.013065, SerializeNames=0.102945, SerializeGatherableTextData=0.004973, BuildExportMap=0.057537, SortExportsNonSeekfree=0.062823, SortExportsSeekfreeConstructor=0.055362, SortExportsSeekfreeInner=4.625615, SortExportsSeekfree=0.003733, BuildDependencyMap=0.016171, SerializeImportMap=0.008088, SerializeExportMap=0.010572, SerializeDependencyMap=0.002176, SerializeStringAssetReferenceMap=0.002176, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.249740, SerializeExports=1.554418, SerializeBulkData=0.004664, MoveFile=2.703588, UnaccountedTime=1.631547, RunGuid=RunIDF492EB834AD716D0381E8C88A0BFD226
SavePackageTransactionId2D05198147D6C9EDD81FF08CDADE52F2_6, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Levels/OverworldLevel.umap, AutoPackageBackupDelegate=25.633558, FlushAsyncLoading=0.005599, FlushStreamingFunc=0.065312, BlockTillAllRequestsFinished=0.004355, ResetLoadersForSaveUnMarkAllObjects=153.749741, TagPackageExports=50.842289, BeginCacheForCookedPlatformData=0.006840, SerializeImports=55.160316, GatherLocalizableTextData=33.642010, MarkNames=0.180695, SerializeSummary=0.017729, SerializeNames=0.630099, SerializeGatherableTextData=0.207443, BuildExportMap=0.569455, SortExportsNonSeekfree=8.862473, SortExportsSeekfreeConstructor=0.933956, SortExportsSeekfreeInner=73.669937, SortExportsSeekfree=0.008088, BuildDependencyMap=0.548616, SerializeImportMap=0.060339, SerializeExportMap=0.201844, SerializeDependencyMap=0.044163, SerializeStringAssetReferenceMap=0.002485, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.019864, SerializeExports=67.641678, SerializeBulkData=2.657249, MoveFile=3.577519, UnaccountedTime=0.316296, RunGuid=RunIDF492EB834AD716D0381E8C88A0BFD226
