CookerStat, GenerateAssetRegistry=0.023637, Initialize=0.132799, RunGuid=RunID643A5C924BE489B7BF5C898199109125
SavePackageTransactionId87359CC9439CF2F8BA778BA9BF9E6434_11, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattleGameMode_BP.uasset, AutoPackageBackupDelegate=42.552742, FlushAsyncLoading=0.005599, FlushStreamingFunc=0.058156, BlockTillAllRequestsFinished=0.005912, ResetLoadersForSaveUnMarkAllObjects=0.116315, TagPackageExports=3.744226, BeginCacheForCookedPlatformData=0.002488, SerializeImports=5.050458, GatherLocalizableTextData=3.829755, MarkNames=0.032034, SerializeSummary=0.013683, SerializeNames=0.117250, SerializeGatherableTextData=0.168566, BuildExportMap=0.117563, SortExportsNonSeekfree=0.294525, SortExportsSeekfreeConstructor=0.057533, SortExportsSeekfreeInner=8.342792, SortExportsSeekfree=0.004668, BuildDependencyMap=0.036385, SerializeImportMap=0.012130, SerializeExportMap=0.021148, SerializeDependencyMap=0.004668, SerializeStringAssetReferenceMap=0.001553, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.486728, SerializeExports=5.172063, SerializeBulkData=0.005290, MoveFile=2.807155, UnaccountedTime=1.571525, RunGuid=RunID643A5C924BE489B7BF5C898199109125
SavePackageTransactionId87359CC9439CF2F8BA778BA9BF9E6434_12, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattleGameMode_BP.uasset, AutoPackageBackupDelegate=44.043091, FlushAsyncLoading=0.025816, FlushStreamingFunc=0.076506, BlockTillAllRequestsFinished=0.006221, ResetLoadersForSaveUnMarkAllObjects=0.119116, TagPackageExports=4.533563, BeginCacheForCookedPlatformData=0.004042, SerializeImports=5.048283, GatherLocalizableTextData=3.592145, MarkNames=0.029854, SerializeSummary=0.012752, SerializeNames=0.120051, SerializeGatherableTextData=0.150837, BuildExportMap=0.119116, SortExportsNonSeekfree=0.292350, SortExportsSeekfreeConstructor=0.056602, SortExportsSeekfreeInner=8.865908, SortExportsSeekfree=0.006530, BuildDependencyMap=0.038564, SerializeImportMap=0.012752, SerializeExportMap=0.022702, SerializeDependencyMap=0.004355, SerializeStringAssetReferenceMap=0.001866, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.689816, SerializeExports=5.538430, SerializeBulkData=0.006530, MoveFile=3.002163, UnaccountedTime=1.602933, RunGuid=RunID643A5C924BE489B7BF5C898199109125
SavePackageTransactionId87359CC9439CF2F8BA778BA9BF9E6434_13, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Saved/Autosaves/Game/Blueprints/BattleGameMode_BP_Auto2.uasset, AutoPackageBackupDelegate=44.220055, FlushAsyncLoading=0.008706, FlushStreamingFunc=0.056915, BlockTillAllRequestsFinished=0.006530, ResetLoadersForSaveUnMarkAllObjects=0.113521, TagPackageExports=3.863655, BeginCacheForCookedPlatformData=0.002488, SerializeImports=5.372975, GatherLocalizableTextData=3.679846, MarkNames=0.030167, SerializeSummary=0.013374, SerializeNames=0.120983, SerializeGatherableTextData=0.172921, BuildExportMap=0.117250, SortExportsNonSeekfree=0.304475, SortExportsSeekfreeConstructor=0.055984, SortExportsSeekfreeInner=8.441999, SortExportsSeekfree=0.009645, BuildDependencyMap=0.048514, SerializeImportMap=0.011817, SerializeExportMap=0.022706, SerializeDependencyMap=0.004977, SerializeStringAssetReferenceMap=0.001863, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.581585, SerializeExports=5.299579, SerializeBulkData=0.004355, MoveFile=2.679642, UnaccountedTime=0.207134, RunGuid=RunID643A5C924BE489B7BF5C898199109125
SavePackageTransactionId87359CC9439CF2F8BA778BA9BF9E6434_14, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattleGameMode_BP.uasset, AutoPackageBackupDelegate=44.523911, FlushAsyncLoading=0.010576, FlushStreamingFunc=0.059400, BlockTillAllRequestsFinished=0.006534, ResetLoadersForSaveUnMarkAllObjects=0.117250, TagPackageExports=6.193101, BeginCacheForCookedPlatformData=0.004042, SerializeImports=6.794594, GatherLocalizableTextData=4.897442, MarkNames=0.042297, SerializeSummary=0.014309, SerializeNames=0.133734, SerializeGatherableTextData=0.166077, BuildExportMap=0.126269, SortExportsNonSeekfree=0.486106, SortExportsSeekfreeConstructor=0.061579, SortExportsSeekfreeInner=10.961167, SortExportsSeekfree=0.010263, BuildDependencyMap=0.053182, SerializeImportMap=0.013687, SerializeExportMap=0.028301, SerializeDependencyMap=0.005599, SerializeStringAssetReferenceMap=0.001553, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.839721, SerializeExports=8.072525, SerializeBulkData=0.007153, MoveFile=2.988476, UnaccountedTime=1.528915, RunGuid=RunID643A5C924BE489B7BF5C898199109125
SavePackageTransactionId87359CC9439CF2F8BA778BA9BF9E6434_15, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Saved/Autosaves/Game/Blueprints/BattleGameMode_BP_Auto3.uasset, AutoPackageBackupDelegate=44.736950, FlushAsyncLoading=0.005599, FlushStreamingFunc=0.052560, BlockTillAllRequestsFinished=0.005599, ResetLoadersForSaveUnMarkAllObjects=0.111029, TagPackageExports=4.561868, BeginCacheForCookedPlatformData=0.003420, SerializeImports=5.772930, GatherLocalizableTextData=5.371735, MarkNames=0.038873, SerializeSummary=0.016171, SerializeNames=0.128139, SerializeGatherableTextData=0.141505, BuildExportMap=0.124715, SortExportsNonSeekfree=0.405245, SortExportsSeekfreeConstructor=0.061579, SortExportsSeekfreeInner=9.291053, SortExportsSeekfree=0.004668, BuildDependencyMap=0.043541, SerializeImportMap=0.012752, SerializeExportMap=0.025503, SerializeDependencyMap=0.004977, SerializeStringAssetReferenceMap=0.001866, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.558883, SerializeExports=6.597411, SerializeBulkData=0.006221, MoveFile=2.925340, UnaccountedTime=0.185359, RunGuid=RunID643A5C924BE489B7BF5C898199109125
SavePackageTransactionId87359CC9439CF2F8BA778BA9BF9E6434_16, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattleGameMode_BP.uasset, AutoPackageBackupDelegate=42.265682, FlushAsyncLoading=0.005595, FlushStreamingFunc=0.078376, BlockTillAllRequestsFinished=0.005908, ResetLoadersForSaveUnMarkAllObjects=0.106055, TagPackageExports=4.767131, BeginCacheForCookedPlatformData=0.003107, SerializeImports=5.937144, GatherLocalizableTextData=5.227111, MarkNames=0.037633, SerializeSummary=0.013687, SerializeNames=0.128757, SerializeGatherableTextData=0.156123, BuildExportMap=0.122227, SortExportsNonSeekfree=0.384405, SortExportsSeekfreeConstructor=0.060026, SortExportsSeekfreeInner=9.181890, SortExportsSeekfree=0.004977, BuildDependencyMap=0.044163, SerializeImportMap=0.013061, SerializeExportMap=0.025503, SerializeDependencyMap=0.004973, SerializeStringAssetReferenceMap=0.001557, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.598378, SerializeExports=6.649040, SerializeBulkData=0.006843, MoveFile=2.819911, UnaccountedTime=1.469512, RunGuid=RunID643A5C924BE489B7BF5C898199109125
SavePackageTransactionId87359CC9439CF2F8BA778BA9BF9E6434_17, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattleGameMode_BP.uasset, AutoPackageBackupDelegate=43.613590, FlushAsyncLoading=0.005595, FlushStreamingFunc=0.056915, BlockTillAllRequestsFinished=0.005599, ResetLoadersForSaveUnMarkAllObjects=0.110719, TagPackageExports=6.721195, BeginCacheForCookedPlatformData=0.003733, SerializeImports=7.646754, GatherLocalizableTextData=6.468654, MarkNames=0.041988, SerializeSummary=0.013683, SerializeNames=0.129692, SerializeGatherableTextData=0.173543, BuildExportMap=0.135910, SortExportsNonSeekfree=0.610508, SortExportsSeekfreeConstructor=0.060335, SortExportsSeekfreeInner=11.106718, SortExportsSeekfree=0.005599, BuildDependencyMap=0.053495, SerializeImportMap=0.013683, SerializeExportMap=0.030167, SerializeDependencyMap=0.006530, SerializeStringAssetReferenceMap=0.001866, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.768814, SerializeExports=8.795306, SerializeBulkData=0.006221, MoveFile=2.984121, UnaccountedTime=1.568727, RunGuid=RunID643A5C924BE489B7BF5C898199109125
SavePackageTransactionId87359CC9439CF2F8BA778BA9BF9E6434_18, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattleGameMode_BP.uasset, AutoPackageBackupDelegate=44.733528, FlushAsyncLoading=0.010263, FlushStreamingFunc=0.060648, BlockTillAllRequestsFinished=0.006530, ResetLoadersForSaveUnMarkAllObjects=0.119738, TagPackageExports=8.057285, BeginCacheForCookedPlatformData=0.008710, SerializeImports=8.423031, GatherLocalizableTextData=7.570557, MarkNames=0.058781, SerializeSummary=0.018038, SerializeNames=0.139330, SerializeGatherableTextData=0.199359, BuildExportMap=0.139020, SortExportsNonSeekfree=0.684839, SortExportsSeekfreeConstructor=0.076506, SortExportsSeekfreeInner=11.521295, SortExportsSeekfree=0.005599, BuildDependencyMap=0.060022, SerializeImportMap=0.013683, SerializeExportMap=0.035144, SerializeDependencyMap=0.026438, SerializeStringAssetReferenceMap=0.003111, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.798356, SerializeExports=9.379692, SerializeBulkData=0.006221, MoveFile=2.888329, UnaccountedTime=1.491908, RunGuid=RunID643A5C924BE489B7BF5C898199109125
SavePackageTransactionId87359CC9439CF2F8BA778BA9BF9E6434_19, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattleGameMode_BP.uasset, AutoPackageBackupDelegate=42.468147, FlushAsyncLoading=0.005599, FlushStreamingFunc=0.070911, BlockTillAllRequestsFinished=0.004664, ResetLoadersForSaveUnMarkAllObjects=0.103876, TagPackageExports=0.774100, BeginCacheForCookedPlatformData=0.003107, SerializeImports=1.873203, GatherLocalizableTextData=6.809831, MarkNames=0.024572, SerializeSummary=0.013061, SerializeNames=0.083663, SerializeGatherableTextData=0.171054, BuildExportMap=0.068109, SortExportsNonSeekfree=0.055049, SortExportsSeekfreeConstructor=0.058781, SortExportsSeekfreeInner=4.870698, SortExportsSeekfree=0.004042, BuildDependencyMap=0.018660, SerializeImportMap=0.008710, SerializeExportMap=0.010263, SerializeDependencyMap=0.002176, SerializeStringAssetReferenceMap=0.001866, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.262178, SerializeExports=1.332048, SerializeBulkData=0.004042, MoveFile=2.615266, UnaccountedTime=1.469824, RunGuid=RunID643A5C924BE489B7BF5C898199109125
SavePackageTransactionId87359CC9439CF2F8BA778BA9BF9E6434_20, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Saved/Autosaves/Game/Levels/UEDPCOverworldLevel.umap, AutoPackageBackupDelegate=1969.216675, FlushAsyncLoading=0.013374, FlushStreamingFunc=0.063132, BlockTillAllRequestsFinished=0.006534, ResetLoadersForSaveUnMarkAllObjects=206.106262, TagPackageExports=68.077171, BeginCacheForCookedPlatformData=0.006843, SerializeImports=74.083046, GatherLocalizableTextData=63.542675, MarkNames=0.274621, SerializeSummary=0.020213, SerializeNames=0.617974, SerializeGatherableTextData=0.355173, BuildExportMap=0.651561, SortExportsNonSeekfree=12.683220, SortExportsSeekfreeConstructor=0.078682, SortExportsSeekfreeInner=92.115608, SortExportsSeekfree=0.008706, BuildDependencyMap=0.770990, SerializeImportMap=0.072151, SerializeExportMap=0.272132, SerializeDependencyMap=0.055980, SerializeStringAssetReferenceMap=0.002488, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.619389, SerializeExports=93.879333, SerializeBulkData=49.554153, MoveFile=18.283230, UnaccountedTime=0.366367, RunGuid=RunID643A5C924BE489B7BF5C898199109125
