CookerStat, GenerateAssetRegistry=0.025190, Initialize=0.139333, RunGuid=RunID029675714C8975D14E81AFBCA45A1DC8
SavePackageTransactionIdF196A9EF463641B9F5ADD691CA349F3B_11, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Assets/Sprites/SoulOrb_Default_Highlighted/Soul_Orb_Highlighted_Sprite_11.uasset, AutoPackageBackupDelegate=43.356384, FlushAsyncLoading=0.008397, FlushStreamingFunc=0.072464, BlockTillAllRequestsFinished=0.005599, ResetLoadersForSaveUnMarkAllObjects=0.287682, TagPackageExports=0.027370, BeginCacheForCookedPlatformData=0.001866, SerializeImports=0.745177, GatherLocalizableTextData=0.138398, MarkNames=0.007153, SerializeSummary=0.010885, SerializeNames=0.048205, SerializeGatherableTextData=0.000931, BuildExportMap=0.019595, SortExportsNonSeekfree=0.006843, SortExportsSeekfreeConstructor=0.008084, SortExportsSeekfreeInner=0.527781, SortExportsSeekfree=0.002801, BuildDependencyMap=0.006840, SerializeImportMap=0.006221, SerializeExportMap=0.005286, SerializeDependencyMap=0.001244, SerializeStringAssetReferenceMap=0.001244, SaveThumbNailsAssetRegistryDataWorldLevelInfo=4.831199, SerializeExports=0.236053, SerializeBulkData=0.004664, MoveFile=2.522588, UnaccountedTime=0.132490, RunGuid=RunID029675714C8975D14E81AFBCA45A1DC8
SavePackageTransactionIdF196A9EF463641B9F5ADD691CA349F3B_12, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Assets/Sprites/SoulOrb_Default_Highlighted/Soul_Orb_Highlighted_Sprite_12.uasset, AutoPackageBackupDelegate=44.560921, FlushAsyncLoading=0.007775, FlushStreamingFunc=0.085838, BlockTillAllRequestsFinished=0.005599, ResetLoadersForSaveUnMarkAllObjects=0.295456, TagPackageExports=0.027679, BeginCacheForCookedPlatformData=0.001557, SerializeImports=0.797112, GatherLocalizableTextData=0.139643, MarkNames=0.007775, SerializeSummary=0.012130, SerializeNames=0.048827, SerializeGatherableTextData=0.001244, BuildExportMap=0.019595, SortExportsNonSeekfree=0.006530, SortExportsSeekfreeConstructor=0.008088, SortExportsSeekfreeInner=0.526223, SortExportsSeekfree=0.003424, BuildDependencyMap=0.006840, SerializeImportMap=0.006530, SerializeExportMap=0.005599, SerializeDependencyMap=0.000931, SerializeStringAssetReferenceMap=0.001244, SaveThumbNailsAssetRegistryDataWorldLevelInfo=5.025890, SerializeExports=0.242274, SerializeBulkData=0.004977, MoveFile=2.668761, UnaccountedTime=0.131868, RunGuid=RunID029675714C8975D14E81AFBCA45A1DC8
SavePackageTransactionIdF196A9EF463641B9F5ADD691CA349F3B_13, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Assets/Sprites/SoulOrb_Default_Highlighted/Soul_Orb_Highlighted_Sprite_13.uasset, AutoPackageBackupDelegate=43.830673, FlushAsyncLoading=0.009019, FlushStreamingFunc=0.102010, BlockTillAllRequestsFinished=0.005286, ResetLoadersForSaveUnMarkAllObjects=0.292972, TagPackageExports=0.027370, BeginCacheForCookedPlatformData=0.001866, SerializeImports=0.892594, GatherLocalizableTextData=0.139020, MarkNames=0.007462, SerializeSummary=0.011198, SerializeNames=0.047896, SerializeGatherableTextData=0.000931, BuildExportMap=0.019904, SortExportsNonSeekfree=0.006530, SortExportsSeekfreeConstructor=0.008088, SortExportsSeekfreeInner=0.526227, SortExportsSeekfree=0.003420, BuildDependencyMap=0.007153, SerializeImportMap=0.007775, SerializeExportMap=0.004977, SerializeDependencyMap=0.001557, SerializeStringAssetReferenceMap=0.001244, SaveThumbNailsAssetRegistryDataWorldLevelInfo=4.808184, SerializeExports=0.222992, SerializeBulkData=0.004664, MoveFile=2.846658, UnaccountedTime=0.156436, RunGuid=RunID029675714C8975D14E81AFBCA45A1DC8
SavePackageTransactionIdF196A9EF463641B9F5ADD691CA349F3B_14, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Assets/Sprites/SoulOrb_Default_Highlighted/Soul_Orb_Highlighted_Sprite_14.uasset, AutoPackageBackupDelegate=44.611618, FlushAsyncLoading=0.008084, FlushStreamingFunc=0.044476, BlockTillAllRequestsFinished=0.004042, ResetLoadersForSaveUnMarkAllObjects=0.289857, TagPackageExports=0.027683, BeginCacheForCookedPlatformData=0.001553, SerializeImports=0.830080, GatherLocalizableTextData=0.141509, MarkNames=0.007465, SerializeSummary=0.011817, SerializeNames=0.047583, SerializeGatherableTextData=0.000935, BuildExportMap=0.019904, SortExportsNonSeekfree=0.006530, SortExportsSeekfreeConstructor=0.007775, SortExportsSeekfreeInner=0.550173, SortExportsSeekfree=0.003424, BuildDependencyMap=0.006840, SerializeImportMap=0.006530, SerializeExportMap=0.005286, SerializeDependencyMap=0.001244, SerializeStringAssetReferenceMap=0.001244, SaveThumbNailsAssetRegistryDataWorldLevelInfo=4.886557, SerializeExports=0.231702, SerializeBulkData=0.004977, MoveFile=2.632063, UnaccountedTime=0.140574, RunGuid=RunID029675714C8975D14E81AFBCA45A1DC8
SavePackageTransactionIdF196A9EF463641B9F5ADD691CA349F3B_15, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Assets/Sprites/SoulOrb_Default_Highlighted/Soul_Orb_Highlighted_Sprite_15.uasset, AutoPackageBackupDelegate=44.168739, FlushAsyncLoading=0.009019, FlushStreamingFunc=0.102010, BlockTillAllRequestsFinished=0.004977, ResetLoadersForSaveUnMarkAllObjects=0.271510, TagPackageExports=0.027370, BeginCacheForCookedPlatformData=0.001553, SerializeImports=0.794627, GatherLocalizableTextData=0.138398, MarkNames=0.007462, SerializeSummary=0.011507, SerializeNames=0.048209, SerializeGatherableTextData=0.001244, BuildExportMap=0.019591, SortExportsNonSeekfree=0.006530, SortExportsSeekfreeConstructor=0.008088, SortExportsSeekfreeInner=0.536177, SortExportsSeekfree=0.003111, BuildDependencyMap=0.007153, SerializeImportMap=0.006221, SerializeExportMap=0.004977, SerializeDependencyMap=0.000931, SerializeStringAssetReferenceMap=0.001244, SaveThumbNailsAssetRegistryDataWorldLevelInfo=4.830267, SerializeExports=0.229523, SerializeBulkData=0.004664, MoveFile=2.788808, UnaccountedTime=0.144619, RunGuid=RunID029675714C8975D14E81AFBCA45A1DC8
SavePackageTransactionIdF196A9EF463641B9F5ADD691CA349F3B_16, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Assets/Sprites/SoulOrb_Default_Highlighted/Soul_Orb_Highlighted_Sprite_16.uasset, AutoPackageBackupDelegate=45.220882, FlushAsyncLoading=0.008706, FlushStreamingFunc=0.066556, BlockTillAllRequestsFinished=0.005290, ResetLoadersForSaveUnMarkAllObjects=0.267465, TagPackageExports=0.029232, BeginCacheForCookedPlatformData=0.001866, SerializeImports=0.936445, GatherLocalizableTextData=0.141509, MarkNames=0.007465, SerializeSummary=0.011507, SerializeNames=0.047896, SerializeGatherableTextData=0.000931, BuildExportMap=0.019282, SortExportsNonSeekfree=0.006530, SortExportsSeekfreeConstructor=0.008088, SortExportsSeekfreeInner=0.553593, SortExportsSeekfree=0.003111, BuildDependencyMap=0.007153, SerializeImportMap=0.006221, SerializeExportMap=0.004977, SerializeDependencyMap=0.001244, SerializeStringAssetReferenceMap=0.001244, SaveThumbNailsAssetRegistryDataWorldLevelInfo=4.989192, SerializeExports=0.229213, SerializeBulkData=0.004973, MoveFile=2.764549, UnaccountedTime=0.157371, RunGuid=RunID029675714C8975D14E81AFBCA45A1DC8
SavePackageTransactionIdF196A9EF463641B9F5ADD691CA349F3B_17, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Assets/Sprites/SoulOrb_Default_Highlighted/Soul_Orb_Highlighted_Sprite_17.uasset, AutoPackageBackupDelegate=43.987110, FlushAsyncLoading=0.009641, FlushStreamingFunc=0.081174, BlockTillAllRequestsFinished=0.004977, ResetLoadersForSaveUnMarkAllObjects=0.268400, TagPackageExports=0.027057, BeginCacheForCookedPlatformData=0.001557, SerializeImports=0.792138, GatherLocalizableTextData=0.139643, MarkNames=0.007153, SerializeSummary=0.011194, SerializeNames=0.047896, SerializeGatherableTextData=0.001244, BuildExportMap=0.019595, SortExportsNonSeekfree=0.006530, SortExportsSeekfreeConstructor=0.007775, SortExportsSeekfreeInner=0.554528, SortExportsSeekfree=0.003111, BuildDependencyMap=0.006840, SerializeImportMap=0.006530, SerializeExportMap=0.005290, SerializeDependencyMap=0.000931, SerializeStringAssetReferenceMap=0.001244, SaveThumbNailsAssetRegistryDataWorldLevelInfo=4.852347, SerializeExports=0.237610, SerializeBulkData=0.004664, MoveFile=21.661398, UnaccountedTime=0.159238, RunGuid=RunID029675714C8975D14E81AFBCA45A1DC8
SavePackageTransactionIdF196A9EF463641B9F5ADD691CA349F3B_18, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Assets/Sprites/SoulOrb_Default_Highlighted/Soul_Orb_Highlighted_Sprite_18.uasset, AutoPackageBackupDelegate=45.518513, FlushAsyncLoading=0.010572, FlushStreamingFunc=0.085838, BlockTillAllRequestsFinished=0.006221, ResetLoadersForSaveUnMarkAllObjects=0.389073, TagPackageExports=0.027061, BeginCacheForCookedPlatformData=0.001553, SerializeImports=0.846565, GatherLocalizableTextData=0.138085, MarkNames=0.007156, SerializeSummary=0.011504, SerializeNames=0.048518, SerializeGatherableTextData=0.001244, BuildExportMap=0.019904, SortExportsNonSeekfree=0.006221, SortExportsSeekfreeConstructor=0.008088, SortExportsSeekfreeInner=0.634767, SortExportsSeekfree=0.003729, BuildDependencyMap=0.006843, SerializeImportMap=0.006530, SerializeExportMap=0.004977, SerializeDependencyMap=0.001244, SerializeStringAssetReferenceMap=0.001244, SaveThumbNailsAssetRegistryDataWorldLevelInfo=4.822802, SerializeExports=0.251297, SerializeBulkData=0.004664, MoveFile=6.693203, UnaccountedTime=0.153016, RunGuid=RunID029675714C8975D14E81AFBCA45A1DC8
SavePackageTransactionIdF196A9EF463641B9F5ADD691CA349F3B_19, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Assets/Sprites/SoulOrb_Default_Highlighted/Soul_Orb_Highlighted_Sprite_19.uasset, AutoPackageBackupDelegate=44.450203, FlushAsyncLoading=0.013061, FlushStreamingFunc=0.072464, BlockTillAllRequestsFinished=0.004668, ResetLoadersForSaveUnMarkAllObjects=0.283949, TagPackageExports=0.027370, BeginCacheForCookedPlatformData=0.001553, SerializeImports=0.843145, GatherLocalizableTextData=0.146173, MarkNames=0.007775, SerializeSummary=0.010885, SerializeNames=0.048518, SerializeGatherableTextData=0.001244, BuildExportMap=0.019591, SortExportsNonSeekfree=0.006530, SortExportsSeekfreeConstructor=0.008088, SortExportsSeekfreeInner=0.532758, SortExportsSeekfree=0.003111, BuildDependencyMap=0.006840, SerializeImportMap=0.006843, SerializeExportMap=0.004973, SerializeDependencyMap=0.000931, SerializeStringAssetReferenceMap=0.001244, SaveThumbNailsAssetRegistryDataWorldLevelInfo=4.731678, SerializeExports=0.225481, SerializeBulkData=0.004664, MoveFile=2.568617, UnaccountedTime=0.200599, RunGuid=RunID029675714C8975D14E81AFBCA45A1DC8
SavePackageTransactionIdF196A9EF463641B9F5ADD691CA349F3B_20, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Assets/Sprites/SoulOrb_Default_Highlighted/Soul_Orb_Highlighted_Sprite_2.uasset, AutoPackageBackupDelegate=43.940773, FlushAsyncLoading=0.008397, FlushStreamingFunc=0.078063, BlockTillAllRequestsFinished=0.004664, ResetLoadersForSaveUnMarkAllObjects=0.264667, TagPackageExports=0.027370, BeginCacheForCookedPlatformData=0.001866, SerializeImports=0.808619, GatherLocalizableTextData=0.139333, MarkNames=0.007775, SerializeSummary=0.011198, SerializeNames=0.049137, SerializeGatherableTextData=0.001244, BuildExportMap=0.019595, SortExportsNonSeekfree=0.006843, SortExportsSeekfreeConstructor=0.007775, SortExportsSeekfreeInner=0.535242, SortExportsSeekfree=0.003111, BuildDependencyMap=0.007153, SerializeImportMap=0.006530, SerializeExportMap=0.005286, SerializeDependencyMap=0.001244, SerializeStringAssetReferenceMap=0.001241, SaveThumbNailsAssetRegistryDataWorldLevelInfo=4.730433, SerializeExports=0.232324, SerializeBulkData=0.004977, MoveFile=2.502993, UnaccountedTime=0.129692, RunGuid=RunID029675714C8975D14E81AFBCA45A1DC8
